,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,318248,br,Adalberto,28, D(C),185,81,5,0.0,450,2,1,-,-,1,75.6,1,3.8,7.04,0.8,1.4,1,0.8,5.2,0.8,0.6,-,0.6,1.2,-,0.2,1.6,0.6,47.6,75.6,0,3.4,America MG
1,317793,,Suéliton Nogueira,24, D(C),184,84,6,0.0,540,-,1,1,-,0.3,85.1,1,4.7,7.03,1.5,2.7,1.3,0.7,5.7,1.3,0.7,-,0.3,1.8,-,0.7,1.2,0.3,61.5,85.1,0,3.5,America MG
2,317791,br,João Ricardo,27, GK,185,78,10,0.0,900,-,-,1,-,-,57.2,1,0.4,6.83,-,0.2,0.1,-,2.2,0.1,-,-,-,-,-,-,0.2,0,28.5,57.2,0,6.8,America MG
3,74569,br,Ernandes,28, Midfielder,173,70,4,1,353,-,-,-,-,1,74.8,-,1,6.83,2,1,0.8,-,0.6,0.6,-,-,1,2.6,-,1.2,1.2,1,27,74.8,0.2,0.6,America MG
4,317794,br,Osman Junior,23, AM(R),181,72,6,0,532,1,-,1,-,3.3,69.7,-,2.3,6.79,1.7,1,2.3,-,1.5,0.3,-,-,1.3,1.8,0.8,2.7,2.8,1.3,30.8,69.7,0.7,1.7,America MG
5,28426,br,Leandro Guerreiro,37, DMC,183,72,9,0,794,-,1,3,-,0.6,80.1,-,2.6,6.78,1.6,2,1.4,0.1,2.2,1,1,-,0.7,0.1,-,1.1,0.9,0.7,55.2,80.1,0.1,4.2,America MG
6,146795,,Danilo,24," D(L),M(CL)",186,75,10,0,884,1,-,1,-,2.6,77.5,-,1.8,6.76,1.4,1.7,1,0.1,2,1.4,-,-,1.4,1,-,0.6,2.6,1.4,38.3,77.5,1.2,1.9,America MG
7,280692,ve,Victor Rangel,25, Forward,180,77,3,2,283,2,-,-,-,1.8,71.7,1,0.8,6.71,0.4,-,0.8,-,-,-,-,-,0.8,1.4,0.4,1.6,2.6,0.8,9.2,71.7,0.2,0.6,America MG
8,131056,br,Juninho,28," D(L),DMC",173,70,5,1,461,-,-,-,-,0.7,78.2,-,1.7,6.71,2.3,1.2,1.5,-,0.7,1,0.5,-,1.2,1,-,1.3,2,1.2,31.3,78.2,0.2,0.3,America MG
9,42949,br,Helder,28, D(R),175,70,9,0,784,-,2,2,-,0.3,67.9,-,1.7,6.70,2.9,0.9,2.2,0.1,1.6,1.3,0.1,-,1,1.4,0.1,1.2,3,1,26.3,67.9,1.3,0.3,America MG
10,36341,pt,Rafael Bastos,31, AM(CLR),185,77,5,0,435,1,-,1,-,1.8,73,-,0.2,6.65,3,0.6,1.2,-,0.6,1.6,0.2,-,0.2,1,1,1.4,1,0.2,22.2,73,0.2,0.2,America MG
11,75911,br,Alison,32, D(C),186,76,4,0,294,-,-,1,-,0.8,71.4,-,3,6.60,1,2,0.5,0.3,4.8,1,-,-,0.3,0.8,0.3,0.3,-,0.3,31.5,71.4,0,3.3,America MG
12,146770,br,Claudinei,27, DMC,172,70,6,1,533,-,-,-,-,0.3,78.7,-,0.9,6.49,2.1,1,0.4,-,1,0.9,-,-,0.7,0.7,-,1.1,1.3,0.7,24.1,78.7,0,1.1,America MG
13,317800,,Guilherme Xavier,21, Midfielder,170,65,3,1,238,-,-,-,-,0.5,80.6,-,-,6.45,1.5,2.3,0.8,0.5,0.8,0.8,-,-,1,2,-,1,0.8,1,27,80.6,0.3,0.8,America MG
14,292148,,Artur,26, D(C),189,76,8,1,732,-,1,3,-,0.1,69.4,-,1.6,6.41,3,1,1.4,1,3.2,0.2,0.6,-,0.1,0.2,-,0.1,1.1,0.1,30.1,69.4,0.1,2.1,America MG
15,317796,br,Bruno Sávio,21, Forward,184,70,0,8,141,1,-,1,-,0.9,67.2,-,0.4,6.22,0.6,0.3,1,-,0.1,-,-,-,0.4,0.1,-,0.6,1.1,0.4,7.6,67.2,0.1,0,America MG
16,41503,br,Tiago Luis,27," AM(CR),FW",176,74,4,3,391,-,-,2,-,1.3,75.8,-,-,6.21,0.1,0.7,1.9,-,0.3,0.1,0.1,-,0.7,0.6,0.1,1.9,1.4,0.7,18.3,75.8,0.3,0.9,America MG
17,15838,br,Borges,35, FW,176,75,5,1,460,1,-,-,-,1.7,75,-,0.7,6.19,-,0.2,0.8,-,-,0.7,-,-,0.3,0.8,0.3,0.8,1.8,0.3,10.7,75,0,0.3,America MG
18,129121,br,Eduardo,23, AM(C),177,71,5,1,346,-,-,-,-,1.2,79.4,-,0.2,6.17,0.5,-,0.3,-,-,0.3,-,-,1,0.3,-,1.7,1.5,1,17,79.4,1,0.3,America MG
19,318420,br,Alan Mineiro,28, Midfielder,175,79,2,3,198,-,-,-,-,0.6,82,-,0.2,6.15,0.8,0.8,0.8,-,0.2,0.2,-,-,0.6,0.6,-,1.6,1.8,0.6,20,82,0,0.2,America MG
20,318247,,Matheuzinho,18, Midfielder,164,60,0,2,26,-,-,-,-,0.5,78.6,-,-,6.14,0.5,-,-,-,-,-,-,-,1,0.5,-,0.5,1.5,1,7,78.6,0,0,America MG
21,317801,,Vitinho Ruas,19, Midfielder,178,68,0,1,46,-,-,-,-,-,40,-,2,6.03,3,-,1,-,-,-,-,-,-,1,-,2,2,0,10,40,0,0,America MG
22,112031,br,William Barbio,23, AM(CLR),175,70,1,1,60,-,-,-,-,-,75,-,-,6.03,-,-,1.5,-,0.5,-,0.5,-,-,0.5,-,1,1.5,0,6,75,0,0.5,America MG
23,317797,,Roger,21, Defender,184,71,0,2,26,-,-,1,-,-,63.6,-,-,6.00,-,0.5,0.5,-,-,-,0.5,-,-,-,-,-,-,0,5.5,63.6,0,0.5,America MG
