,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,125674,ec,Juan Cazares,24, Midfielder,171,61,4,0.0,358,4,1,1,-,3.8,85.6,2,-,7.88,0.8,1,1.3,-,-,0.8,-,-,4,0.8,0.5,2.5,2.5,4,52.3,85.6,3,4,Atletico MG
1,74447,br,Marcos Rocha,27, D(R),176,69,8,0.0,689,-,3,2,1,0.3,79.3,1,0.4,7.34,5.1,3,1.6,0.1,0.9,1.9,0.4,-,3,2,0.3,1,1.6,3,60.3,79.3,1.4,4.3,Atletico MG
2,115097,br,Douglas Santos,22, D(L),173,70,4,0.0,360,-,-,1,-,0.8,84.8,-,1,7.31,4,3.5,1.5,0.3,1.3,0.8,-,-,1.8,1,0.3,0.5,2.8,1.8,41.3,84.8,2,2.8,Atletico MG
3,137076,,Uilson,22, Goalkeeper,186,75,1,0.0,90,-,-,-,-,-,30,-,-,7.30,-,-,-,-,1,-,-,-,-,1,-,-,-,0,30,30,0,5,Atletico MG
4,20791,br,Leonardo Silva,37, D(C),192,80,4,0.0,360,-,-,-,-,1,83,-,4.3,7.18,2.3,2.3,1.3,0.3,4.5,1,0.8,-,0.3,2.5,-,0.3,1,0.3,55.8,83,0,3.8,Atletico MG
5,14247,br,Robinho,32," AM(CLR),FW",172,60,6,0.0,423,2,2,1,-,1.8,83.9,1,0.5,7.02,0.7,0.2,1.5,-,-,1,-,-,2,1.3,0.7,0.8,3.7,2,35.2,83.9,1.5,2.3,Atletico MG
6,132155,br,Lucas Candido,22, D(L),178,72,4,0.0,360,-,-,1,-,2,82.7,-,1.8,7.00,2.3,3.8,3,0.3,2,1,0.3,-,0.5,1.3,-,0.8,2.3,0.5,43.3,82.7,0.5,2.3,Atletico MG
7,15418,br,Fred,32, FW,185,75,4,0.0,358,2,-,1,-,3,78.9,-,2.8,6.99,0.5,0.3,1.8,-,1,0.3,-,-,1.5,1.5,-,2,3.8,1.5,22.5,78.9,0,0.3,Atletico MG
8,238944,br,Tiago,26, D(C),191,89,5,0.0,450,1,-,-,-,1.2,76.6,1,2.8,6.98,2,2.2,0.6,1.6,4,0.4,1.2,-,-,0.6,-,-,0.6,0,35,76.6,0,3.8,Atletico MG
9,108032,br,Júnior Urso,27, M(C),181,85,6,1,481,1,-,1,-,2.3,88,-,1.3,6.98,2.1,1.7,0.3,-,0.7,0.3,-,-,0.7,1,-,1,0.9,0.7,34.6,88,0,1.3,Atletico MG
10,146771,br,Edcarlos,31, D(C),185,76,4,0,360,-,-,1,-,0.3,80,-,1.8,6.93,0.8,4.5,1.5,0.8,5,0.3,0.8,-,0.3,1,-,-,0.8,0.3,47.5,80,0,3.5,Atletico MG
11,41381,br,Leandro Donizete,34, DMC,175,70,7,0,609,1,1,2,-,0.4,86.2,1,1,6.90,1.6,2.3,1.3,-,0.9,1,0.3,-,0.4,1.7,-,0.9,1.9,0.4,59.9,86.2,0,4.1,Atletico MG
12,87090,ec,Frickson Erazo,28, D(C),190,78,3,0,270,-,-,1,-,0.3,83.3,-,2,6.87,1.7,0.3,0.7,0.7,6.3,0.3,-,-,-,1,-,-,0.7,0,50,83.3,0,3,Atletico MG
13,149772,,Gabriel,21, Defender,181,80,5,0,450,-,1,2,-,0.4,85.4,-,2.2,6.75,2.8,2.4,1.2,1.6,3,0.6,-,-,0.4,0.8,-,-,0.2,0.4,53.6,85.4,0,3,Atletico MG
14,149128,,Eduardo,21, M(C),184,73,2,0,156,-,-,1,-,-,90.9,-,2.5,6.70,1.5,1.5,1.5,-,1.5,1,-,-,-,3,-,0.5,1.5,0,38.5,90.9,0,0.5,Atletico MG
15,40672,br,Rafael Carioca,27, DMC,179,74,8,1,733,1,-,1,-,0.4,91.8,-,0.4,6.70,1.2,1.6,0.9,-,0.7,0.4,0.4,-,1.3,1.3,-,1,1.4,1.3,61.1,91.8,0.3,4.3,Atletico MG
16,77002,br,Carlos Cesar,29, D(R),172,70,3,1,245,-,-,-,-,-,80.2,-,0.3,6.68,2,3.8,1.5,-,1.8,1.3,-,-,0.8,0.5,-,0.8,1.3,0.8,25.3,80.2,0.8,1.3,Atletico MG
17,78505,br,Patric,27," D(LR),M(R)",172,71,6,3,546,2,2,1,-,2.2,81.1,-,-,6.66,1.2,0.3,0.9,-,0.6,0.6,-,-,1.6,0.4,0.4,1.4,2.7,1.6,33,81.1,0.8,0.9,Atletico MG
18,121560,br,Clayton,20, FW,173,69,5,2,481,-,-,1,-,2.6,68.1,-,1.4,6.58,0.9,0.4,0.9,-,0.3,0.4,-,-,1.9,1.1,0.3,1.3,2.4,1.9,22.9,68.1,0.4,0.9,Atletico MG
19,40667,br,Victor,33, GK,193,84,9,0,810,-,-,-,-,-,62.1,-,0.1,6.41,-,-,-,-,1.1,0.2,-,-,-,0.1,-,-,-,0,22.9,62.1,0,5,Atletico MG
20,27830,br,Carlos Eduardo,28," M(CL),FW",171,68,1,4,141,-,-,1,-,0.8,81.7,-,-,6.38,1,0.2,0.8,-,-,0.8,-,-,1.2,1.2,-,0.6,0.6,1.2,18.6,81.7,0,0.8,Atletico MG
21,317665,,Pablo,23, Midfielder,175,65,1,4,150,-,-,1,-,1.2,85.3,-,-,6.35,0.8,0.4,0.4,-,0.2,0.6,-,-,0.6,0.6,-,0.4,1.4,0.6,13.6,85.3,0.2,0.4,Atletico MG
22,134924,br,Carlos Carvalho,20, AM(L),172,66,7,2,565,1,-,1,-,1.7,78.3,-,0.8,6.33,0.4,0.7,0.8,-,0.6,0.3,-,-,0.6,1.4,0.4,1.8,1.9,0.6,16.9,78.3,0.1,0.3,Atletico MG
23,135996,br,Hyuri,24, AM(R),186,75,3,3,265,-,-,-,-,0.8,70,-,1.3,6.25,1,0.8,1.2,-,-,0.5,-,-,0.2,1.3,0.8,0.5,2.2,0.2,8.3,70,0,0.2,Atletico MG
24,132843,,Yago,20, Midfielder,180,80,0,1,4,-,-,-,-,-,-,-,-,6.19,-,1,1,-,-,-,1,-,-,-,-,-,-,0,1,0,0,0,Atletico MG
