,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,41279,br,Eduardo,29, D(R),170,70,4,0.0,360,-,1,3,-,0.5,80.3,-,2.8,7.38,3.3,1.5,1.3,0.3,2.3,0.3,0.5,-,1.3,1.8,-,0.5,2.3,1.3,52,80.3,2,2.5,Atletico PR
1,318448,,Nicolas,19, Defender,0,0,1,0.0,90,-,-,-,-,-,61.5,-,3,7.30,-,5,-,2,2,-,-,-,1,1,-,1,2,1,26,61.5,0,1,Atletico PR
2,78812,br,Deivid,27, DMC,174,69,6,1,585,1,-,-,-,0.4,86,1,1.1,7.19,2.4,3.7,2.6,-,1.6,0.9,0.4,-,0.1,2,-,0.6,1,0.1,31.7,86,0.1,1.9,Atletico PR
3,17204,br,Paulo André,32, D(C),188,80,4,0,360,2,-,1,-,1,80.9,1,1.3,7.04,1.3,2.5,1,0.8,5.3,0.3,0.5,-,-,0.5,-,-,0.5,0,40.5,80.9,0,2.5,Atletico PR
4,20938,br,Thiago Heleno,27, D(C),185,84,9,0,810,1,-,1,-,0.8,84.6,-,3,6.95,0.2,2.2,1,0.4,7.4,-,0.3,-,0.1,0.7,-,-,0.2,0.1,50.4,84.6,0,5,Atletico PR
5,146764,,Otávio,22, DMC,176,73,9,0,810,1,-,1,-,1.4,85.9,-,0.7,6.78,3,1.3,1.6,-,0.8,1.7,0.2,-,0.4,0.9,-,0.4,1.2,0.4,43.3,85.9,0,3.2,Atletico PR
6,239064,,Sidcley,23," D(L),M(L)",176,76,9,1,811,-,-,2,-,0.1,82.1,-,0.8,6.70,2.3,1.6,0.9,0.6,1.7,0.4,0.1,-,1,0.9,-,0.9,1.8,1,36.4,82.1,0.5,2.1,Atletico PR
7,86821,br,Léo,24, D(R),171,62,6,0,510,-,1,1,1,0.3,79.7,-,0.3,6.65,2.3,2.8,2,0.2,2,1,0.2,-,0.5,1.7,-,0.8,2.7,0.5,31.2,79.7,0.8,1.5,Atletico PR
8,140977,br,Wanderson,25, Defender,186,83,3,1,314,-,-,-,-,0.5,90.5,-,1.3,6.65,0.8,2.5,0.5,0.5,2.8,0.3,0.3,-,-,0.5,0.3,-,0.5,0,47.5,90.5,0,2.8,Atletico PR
9,279395,,Vinícius,25, AM(C),177,77,4,4,448,1,1,1,-,1.4,81.8,-,0.3,6.64,1,0.1,0.4,-,0.1,0.9,-,-,1.1,1,-,-,1.8,1.1,26.1,81.8,1.3,3.6,Atletico PR
10,93064,br,Nikão,23, AM(LR),174,73,6,1,539,-,1,1,-,1.3,80.5,-,0.7,6.59,1,0.3,1.6,-,0.1,0.4,-,-,1,1.1,0.1,1.9,2.4,1,35.9,80.5,0.6,3.1,Atletico PR
11,149563,br,Ewandro,20, AM(L),174,65,7,2,566,1,1,1,-,0.9,75.8,1,0.1,6.57,1.4,0.3,0.7,-,0.2,0.3,-,-,1.1,0.4,0.2,0.8,2.3,1.1,22,75.8,0.6,0.7,Atletico PR
12,101958,br,Hernani,22, M(C),188,77,4,2,364,1,-,2,-,0.5,86.6,-,1,6.55,2,1.2,2,-,1.3,0.5,0.2,-,0.3,0.3,-,0.7,1.7,0.3,33.5,86.6,0,3.8,Atletico PR
13,122868,br,André Lima,31, FW,185,84,6,1,469,1,-,1,-,0.4,77.6,-,1.3,6.51,0.7,0.7,1.9,-,0.4,0.6,0.1,-,0.4,2.1,0.1,0.9,3.1,0.4,22.3,77.6,0,1.4,Atletico PR
14,102023,br,Weverton,29, GK,186,87,10,0,900,-,-,-,-,-,65.7,-,0.3,6.46,-,0.1,-,-,1,0.1,-,-,0.1,0.1,-,-,0.2,0.1,29.7,65.7,0,9.4,Atletico PR
15,107182,br,Pablo,24," AM(C),FW",185,76,6,3,519,-,-,2,-,0.7,65.8,-,0.9,6.42,1.4,0.8,1.2,-,1.2,-,0.2,-,0.4,0.7,0.2,0.4,1.8,0.4,21.4,65.8,0.4,1.7,Atletico PR
16,283980,,Giovanny,18, Midfielder,175,69,2,2,164,-,1,1,-,1.3,79.2,-,-,6.31,1,0.3,-,-,-,0.3,-,-,0.8,1.3,-,1.3,3.3,0.8,12,79.2,0,0.3,Atletico PR
17,40739,br,Walter,26, FW,178,94,6,4,579,1,1,2,-,2,71.3,1,0.6,6.27,0.6,-,2.1,-,0.1,0.3,-,-,0.7,0.8,0.5,2.7,4,0.7,16.4,71.3,0.1,1.2,Atletico PR
18,279561,br,Anderson Lopes,22, FW,190,72,1,3,135,-,-,-,-,-,68.4,-,0.3,6.24,0.8,0.3,0.5,-,0.3,-,-,-,0.8,1.8,-,0.5,1.8,0.8,9.5,68.4,0,0.3,Atletico PR
19,146758,br,Marcos Guilherme,20, AM(CLR),172,66,2,2,166,-,-,-,-,0.8,92,-,0.3,6.19,0.3,0.3,0.3,-,-,0.3,-,-,0.5,1.3,0.5,2.3,1.3,0.5,12.5,92,0,0.5,Atletico PR
20,114853,br,Cléberson,23, D(C),185,75,4,0,317,-,-,-,-,-,88.1,-,2.3,6.14,0.8,0.8,0.3,0.8,2.8,-,-,-,-,-,0.3,-,1,0,44.3,88.1,0,5.8,Atletico PR
21,114096,br,Jadson,22, DMC,171,67,1,0,59,-,-,-,-,-,76.2,-,-,5.58,-,1,2,-,-,1,-,-,-,2,-,2,1,0,21,76.2,0,3,Atletico PR
