,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,318308,,Sidão,33, Goalkeeper,189,88,4,0.0,360,-,-,-,-,-,58.4,-,0.3,7.04,-,-,-,-,1,-,-,-,-,-,-,-,-,0,19.3,58.4,0,5,Botafogo RJ
1,63785,br,Emerson,31, D(C),186,83,10,0.0,900,-,-,-,-,0.6,76.1,1,4.1,6.95,1.8,2.9,1.5,0.4,4.7,0.8,0.7,-,-,0.8,0.1,0.1,0.7,0,46,76.1,0,3.7,Botafogo RJ
2,317733,,Dierson,20, Midfielder,185,75,1,0.0,90,-,-,-,-,-,87.8,-,4,6.91,4,2,1,-,1,-,-,-,-,1,-,-,3,0,41,87.8,0,0,Botafogo RJ
3,114922,br,Sassá,22, Forward,174,73,2,5,285,4,-,1,-,1.9,79.1,1,0.4,6.89,0.7,-,1,-,0.1,-,-,-,0.4,1,0.6,1.4,1.3,0.4,9.6,79.1,0,0.3,Botafogo RJ
4,149574,br,Victor Luis,23," D(L),DMC",180,76,6,1,572,-,2,1,-,0.7,86.2,1,1.1,6.89,2.3,2.3,1,-,0.9,0.1,0.1,-,0.7,1.4,-,1.9,1.1,0.7,46.4,86.2,0.4,1.3,Botafogo RJ
5,254103,,Leandro,19, AM(R),175,70,7,1,580,1,-,2,-,1.4,80.9,-,-,6.87,2.4,0.5,1.3,-,0.1,0.5,0.3,-,1.4,2.1,-,1.6,3,1.4,37.9,80.9,0.9,2,Botafogo RJ
6,317731,br,Fernandes,21, DMC,171,65,7,2,676,1,-,1,-,1.6,84.7,-,1.1,6.84,2.8,1.1,1.4,-,-,0.6,-,-,1.7,0.9,0.4,1.2,1.7,1.7,40.6,84.7,0.6,1.6,Botafogo RJ
7,41899,br,Airton,26, DMC,180,78,3,0,171,-,-,1,-,0.3,83.6,-,1.3,6.80,2,2,1,-,0.7,0.3,-,-,0.7,1.7,-,0.3,1,0.7,38.7,83.6,0,2.7,Botafogo RJ
8,74611,br,Luis Ricardo,32, D(R),184,76,8,0,720,-,-,1,-,0.5,78.7,-,0.9,6.79,1.4,1.4,0.3,0.1,2.1,0.6,0.1,-,1.8,0.8,-,0.5,0.6,1.8,37.6,78.7,1.6,1.4,Botafogo RJ
9,125402,,Joel Carli,29, Defender,191,89,1,0,61,-,-,-,-,-,87,-,2,6.78,1,2,-,-,7,-,1,-,-,-,-,1,2,0,23,87,0,1,Botafogo RJ
10,47755,br,Bruno Silva,29, M(CR),179,76,10,0,870,-,1,2,-,1.2,79.6,-,2,6.74,3.4,2.4,1.8,-,1,1.5,0.1,1,0.8,1,0.2,1.8,1.2,0.8,53.5,79.6,0.4,3.1,Botafogo RJ
