,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,228260,br,Bruno Rangel,34, FW,181,72,9,1,821,7,-,1,-,1.6,75,2,2.7,7.15,0.7,0.6,2.2,-,0.9,0.3,0.2,-,0.8,1.4,0.6,0.6,3.1,0.8,18.8,75,0.1,0.3,Chapecoense AF
1,279394,br,Lucas Gomes,26, AM(R),177,75,10,0,785,1,1,1,-,1.4,74.1,1,2.8,6.99,1,0.5,1.6,-,0.1,0.5,-,-,0.8,2,0.4,2.4,3.4,0.8,20.5,74.1,1.3,1.1,Chapecoense AF
2,146683,,Danilo,30, GK,185,80,10,0,900,-,-,2,-,-,55.6,2,0.8,6.93,-,0.2,-,-,1.4,-,-,-,-,0.2,-,-,-,0,23.2,55.6,0,9.3,Chapecoense AF
3,279390,,William Thiego,29, D(C),188,82,9,0,800,3,-,1,1,0.8,81.1,1,2,6.93,1.6,2.4,0.9,0.3,4,0.3,0.3,-,0.4,0.9,-,0.1,0.6,0.4,37.1,81.1,0,5.4,Chapecoense AF
4,149564,,Marcelo,24, D(C),186,80,10,0,900,-,-,2,-,0.4,82,-,2.6,6.90,1.8,2.3,1,0.5,4.6,0.2,0.8,-,0.2,0.8,0.1,0.1,0.6,0.2,28.4,82,0,2.5,Chapecoense AF
5,74957,br,Gil,28," D(R),M(C)",168,66,4,0,360,-,-,1,-,0.8,74.9,1,0.5,6.87,1.8,3,1.8,-,1.5,1,0.3,-,0.3,1.3,-,0.3,1.8,0.3,42.8,74.9,0,3.3,Chapecoense AF
6,20883,br,Cléber Santana,34, M(C),187,80,9,0,790,-,1,4,-,1.3,86.1,-,1.7,6.87,0.8,1.4,2,-,1.4,0.4,0.1,-,1.7,1.3,-,1.1,1.8,1.7,56.6,86.1,1,6.7,Chapecoense AF
7,285450,,Gimenez,21, D(R),176,72,8,1,765,-,-,2,-,0.6,74.8,1,0.8,6.83,1.6,3.1,0.9,0.2,1.7,0.4,0.6,-,0.1,1.7,0.1,0.7,1.3,0.1,28.2,74.8,0.2,1.6,Chapecoense AF
8,101952,br,Claudio Winck,22, D(R),183,70,2,1,180,-,-,-,-,0.3,54.8,-,2,6.82,2.7,2,1,0.7,3,1.7,-,-,0.7,-,-,1,0.7,0.7,20.7,54.8,0.3,2.3,Chapecoense AF
9,86729,br,Silvinho,25," AM(CLR),FW",175,72,8,2,779,1,1,1,-,1.9,76.4,-,1.3,6.80,1.1,1.1,1.3,-,0.6,0.5,-,-,1.1,3.1,-,2,2.7,1.1,30.1,76.4,0.1,0.9,Chapecoense AF
10,147832,,Dener,24, D(L),178,70,7,0,559,-,-,-,-,0.4,77.1,-,0.6,6.77,3.6,1.4,1.4,0.3,1.1,0.6,0.1,-,0.4,1,-,1.1,2.6,0.4,27.4,77.1,1.3,0,Chapecoense AF
11,102123,br,Arthur Maia,23, Midfielder,170,63,1,5,190,1,3,1,-,0.7,74.8,-,0.2,6.77,0.5,-,0.7,-,-,-,-,-,0.7,0.7,-,0.2,0.7,0.7,17.8,74.8,1,0.2,Chapecoense AF
12,102288,br,Josimar,29, DMC,181,78,9,0,756,-,-,2,-,0.8,80.7,-,1.8,6.72,2.2,1.7,2.4,-,1.3,0.3,0.4,-,0.3,0.9,-,1,2.1,0.3,38,80.7,0,2.6,Chapecoense AF
13,110728,br,Sergio Manoel,26, Midfielder,177,82,3,1,272,1,-,3,-,0.5,78.9,-,1.3,6.69,2,1.3,2.3,-,0.5,1.5,0.5,-,-,0.8,-,0.8,1.5,0,38,78.9,0.3,2.3,Chapecoense AF
14,228262,,Hyoran,23, AM(C),174,70,4,4,366,1,1,2,-,1.4,77.4,-,0.5,6.62,1,0.5,1.3,-,0.1,0.4,-,-,1.1,0.6,-,1.6,2.5,1.1,11.6,77.4,0.9,0.9,Chapecoense AF
15,317826,,Moisés Ribeiro,25, Midfielder,179,74,2,2,107,-,1,-,-,-,91.9,-,-,6.59,1.5,1.5,0.8,-,0.5,-,0.5,-,0.5,-,-,0.3,1.8,0.5,15.5,91.9,0,0.5,Chapecoense AF
16,318252,,Lucas Mineiro,20, Midfielder,0,0,1,1,117,-,-,1,-,0.5,72.1,-,1.5,6.51,2,1.5,3,-,1,0.5,-,-,-,2,-,0.5,-,0,21.5,72.1,0,1,Chapecoense AF
17,36341,pt,Rafael Bastos,31, AM(CLR),185,77,0,2,71,-,-,1,-,-,87.1,-,1,6.50,1,0.5,0.5,-,0.5,1.5,-,-,0.5,0.5,-,0.5,0.5,0.5,15.5,87.1,0.5,0.5,Chapecoense AF
18,318007,br,Andrei Alba,21, Midfielder,178,71,0,1,52,-,-,-,-,-,80.6,-,1,6.46,1,1,1,-,-,-,1,-,2,1,-,2,2,2,31,80.6,0,0,Chapecoense AF
19,318674,,Tiaguinho,22, Midfielder,0,0,0,1,45,-,-,-,-,-,80,-,1,6.37,2,-,3,-,1,2,-,-,-,3,-,2,1,0,15,80,0,0,Chapecoense AF
20,279398,,Kempes,33, FW,182,77,1,2,65,-,-,-,-,1,68.2,-,1.3,6.23,0.7,-,0.7,-,-,-,0.3,-,0.3,-,0.3,-,1.3,0.3,7.3,68.2,0,0.7,Chapecoense AF
21,77268,br,Ananias,27," AM(CLR),FW",170,70,2,1,103,-,-,-,-,-,51.9,-,1,6.22,0.7,0.3,0.7,-,0.3,-,-,-,0.3,1.7,0.3,-,0.7,0.3,9,51.9,0,0.7,Chapecoense AF
22,317824,,Lourency,20, Midfielder,0,0,0,3,18,-,-,-,-,-,75,-,0.3,6.12,0.3,-,0.7,-,0.7,-,0.3,-,-,0.3,-,0.3,0.3,0,2.7,75,0,0,Chapecoense AF
23,44832,br,Rafael Lima,30, D(C),187,78,1,1,98,-,-,-,-,-,88.5,-,0.5,5.99,0.5,-,0.5,0.5,0.5,0.5,-,-,-,1,-,-,-,0,26,88.5,0,3,Chapecoense AF
24,86854,br,Rodrigo Andrade,28, Midfielder,179,70,0,1,1,-,-,-,-,-,33.3,-,-,5.88,-,-,1,-,-,-,-,-,-,1,-,-,1,0,3,33.3,0,0,Chapecoense AF
