,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,132282,br,Bruno Henrique,26, DMC,180,75,10,0.0,886,3,-,2,-,1.5,86.5,2,2.4,7.43,3.7,1.3,1.8,-,1,0.3,0.5,-,0.5,1.3,0.1,0.6,1.5,0.5,65,86.5,0.2,2.9,Corinthians
1,29389,br,Vilson,28, D(C),189,79,4,0.0,360,-,-,1,-,0.8,83.7,-,2.8,7.33,1,3,0.5,1,6.5,-,0.5,-,-,0.3,-,-,0.5,0,43,83.7,0,3.3,Corinthians
2,102173,br,Felipe,27, D(C),191,77,7,0.0,630,-,-,1,-,0.4,86.1,-,3.4,7.20,1.7,3,1.3,1,5.4,0.4,0.1,-,0.3,1.3,0.1,-,1.9,0.3,51.6,86.1,0,3.1,Corinthians
3,41609,br,Uendel,27, D(L),178,64,10,0.0,892,2,1,-,-,0.8,86.9,1,1.7,7.20,2.1,1,1.2,0.5,1.8,0.1,0.3,-,0.8,0.6,0.1,0.7,1.4,0.8,56.4,86.9,1.4,1.8,Corinthians
4,102166,br,Fagner,27, D(R),168,67,10,0.0,900,1,2,2,-,0.5,78.6,1,0.8,7.12,3.1,2,1.3,0.8,1.9,0.5,-,-,1.1,1.6,-,0.4,1.6,1.1,60.8,78.6,0.9,2.2,Corinthians
5,86761,br,Giovanni Augusto,26, AM(CL),189,88,7,2,663,1,2,1,-,1.3,77.8,1,0.6,7.06,2.4,0.9,1.6,-,0.2,1,-,-,1.4,1.8,0.2,1.3,2.4,1.4,44.1,77.8,1.2,1,Corinthians
6,130462,br,Walter,28, GK,188,82,8,0,676,-,-,-,-,-,67.1,-,0.8,6.97,-,-,-,-,0.5,-,-,-,-,0.1,-,-,-,0,20.5,67.1,0,2.9,Corinthians
7,75971,br,Marquinhos Gabriel,25, AM(CLR),174,70,10,0,851,2,1,-,-,2.3,83.3,1,0.4,6.90,1,0.5,0.8,-,-,0.4,-,-,2.1,1.9,0.1,2.9,2.8,2.1,41.8,83.3,0.7,1,Corinthians
8,31220,br,Guilherme,27, AM(CR),173,77,9,1,759,1,2,1,-,1.3,80.2,-,0.1,6.86,1.6,0.3,1.1,-,0.1,0.1,0.1,-,2.1,1.9,-,1.2,2.2,2.1,45.9,80.2,0.3,2.3,Corinthians
9,22740,br,Cristian,32, M(C),183,82,5,0,392,-,1,3,-,0.8,86.3,-,1.2,6.82,1.6,1,1.6,-,1.8,0.6,0.4,-,0.2,-,-,0.2,0.2,0.2,65.6,86.3,0,3.6,Corinthians
