,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,15910,br,Juan,34," D(L),M(CL)",167,66,7,0.0,625,-,3,-,1,2.3,81.1,-,1,7.19,2.3,1.4,1.3,-,0.1,0.7,-,-,3,3.1,0.4,0.3,2.7,3,49.9,81.1,2.9,3.3,Coritiba
1,79996,br,Alan Santos,25, DMC,182,76,4,0.0,293,1,-,1,-,2.8,88.6,1,1.8,7.04,1.8,0.8,3,-,1,0.3,0.8,-,-,-,-,0.8,0.8,0,43.8,88.6,0,1.8,Coritiba
2,280249,,Ruy,27, AM(CL),171,69,7,1,554,1,3,2,-,1.1,68.6,-,0.6,6.92,1.8,0.6,0.8,-,0.3,1.5,0.1,-,1.3,1.1,0.4,0.5,1.5,1.3,28.3,68.6,0.9,2,Coritiba
3,285541,,Juninho,21, D(C),186,75,9,0,810,1,1,3,-,1.1,76.4,-,3.2,6.87,2.1,2.2,1.1,1.1,5,0.9,0.8,-,0.1,0.9,-,0.1,0.9,0.1,37.2,76.4,0,3.3,Coritiba
4,10171,br,Kléber Gladiador,32," AM(L),FW",173,80,9,0,801,4,-,4,-,1.7,72.1,-,1.8,6.85,0.7,-,2.4,-,0.1,0.2,-,-,1,3.8,0.4,1.7,3.8,1,25.4,72.1,0,0.2,Coritiba
5,137117,,Carlinhos,29," D(L),M(L)",167,71,7,0,630,-,-,1,-,0.1,73.6,1,2.4,6.84,1.9,2.3,2,-,1.4,2,0.1,-,1.1,2.9,-,0.7,0.6,1.1,40.6,73.6,0.7,2.3,Coritiba
6,81614,br,João Paulo,31, DMC,178,70,9,0,744,1,-,3,-,1.2,84.7,-,1.2,6.72,1.8,1.9,1.4,0.1,0.7,0.7,0.3,-,0.4,0.2,-,-,0.8,0.4,48.7,84.7,0.3,1.6,Coritiba
7,281158,ve,César González,33, AM(C),179,74,6,0,423,-,1,-,-,0.7,77.4,-,1.2,6.68,1.5,0.5,0.5,-,0.2,0.3,-,-,1,2.2,0.2,1.3,2.2,1,27.3,77.4,0.8,0.3,Coritiba
8,93738,br,Negueba,24, AM(R),184,75,2,2,196,1,-,3,-,2,70.7,-,0.5,6.66,1.3,0.8,0.5,-,0.3,-,-,-,1,1.8,-,0.8,1,1,14.5,70.7,0.3,0.8,Coritiba
9,16410,br,Rafael Marques,32, D(C),183,81,8,0,720,1,-,3,-,0.1,74.8,-,3.5,6.64,1.5,1.3,1.5,0.9,4.4,0.4,0.5,-,0.4,0.8,-,0.1,0.4,0.4,36.3,74.8,0,2.6,Coritiba
10,317675,,Dodô,17, D(R),166,68,8,1,782,-,2,2,-,0.3,75.7,-,0.7,6.56,1.1,1.4,0.4,0.1,1.8,0.4,0.1,-,0.7,1.7,0.1,0.4,1.4,0.7,29.8,75.7,0.4,1.4,Coritiba
11,129113,,Leandro,23, AM(LR),177,71,2,5,309,1,1,-,-,0.6,79.2,-,0.1,6.51,1.1,0.4,0.7,-,0.1,0.4,-,-,0.4,0.4,0.6,1.1,1.4,0.4,14.4,79.2,0.1,0.3,Coritiba
12,40801,br,Wilson,32, GK,185,79,10,0,900,-,-,-,-,-,53.2,-,0.1,6.49,-,-,-,-,1.6,-,-,-,-,-,-,-,-,0,17.1,53.2,0,5,Coritiba
13,20751,br,Ceará,36, D(R),175,75,2,0,107,-,-,-,-,-,69.7,-,0.5,6.46,1,0.5,0.5,-,0.5,0.5,-,-,1,1,-,-,0.5,1,16.5,69.7,0.5,0.5,Coritiba
14,101460,br,Luccas Claro,24, D(C),182,89,4,0,360,1,-,4,-,0.5,71.1,-,2,6.45,1.5,0.5,0.8,0.3,4.3,-,0.8,-,0.3,0.8,0.3,-,1.5,0.3,30.3,71.1,0,3.5,Coritiba
15,286177,,Evandro,19, Forward,174,71,0,3,87,-,1,-,-,0.7,59.1,-,0.3,6.44,-,0.3,2,-,-,-,-,-,0.3,2,-,0.3,1.3,0.3,7.3,59.1,0,0,Coritiba
16,317684,py,Jorge Ortega,25, Forward,183,78,1,3,117,1,-,-,-,1.3,68.4,-,0.8,6.42,-,-,1.5,-,0.5,-,-,-,0.3,0.8,0.3,0.8,1,0.3,4.8,68.4,0,0,Coritiba
17,86566,br,Vinícius,22," AM(L),FW",180,70,4,3,356,-,1,1,-,1.7,72.8,-,0.4,6.38,0.7,0.3,0.9,-,0.3,-,-,-,0.7,1.7,0.1,1.3,1.7,0.7,19.4,72.8,0,0.4,Coritiba
18,18974,br,Edinho,33, DMC,183,83,4,0,341,-,-,1,-,1,84,-,1,6.37,1.8,1.5,2.8,0.3,1.5,0.8,0.3,-,0.3,1,-,0.5,1.3,0.3,48.5,84,0,3,Coritiba
19,318929,,Iago,0, Substitute,0,0,0,1,45,-,-,-,-,1,68.8,-,-,6.34,-,1,-,-,-,-,-,-,-,-,-,-,-,0,16,68.8,0,1,Coritiba
20,286734,,Thiago Lopes,19, Midfielder,178,76,1,5,172,-,-,-,-,0.5,82.9,-,0.3,6.28,0.7,0.8,0.3,-,0.5,0.3,-,-,0.8,0.3,-,0.2,1,0.8,11.7,82.9,0.2,0.7,Coritiba
21,94006,br,Felipe Amorim,25, Midfielder,180,76,3,1,242,-,-,-,-,0.5,66.1,-,1,6.22,0.5,-,0.5,-,-,0.5,-,-,0.5,1.3,-,2.5,1.8,0.5,15.5,66.1,0.5,0.3,Coritiba
22,317676,py,César Benítez,26, Defender,177,75,1,1,101,-,-,1,-,-,80,-,1.5,6.15,2,0.5,1.5,-,1,0.5,-,-,-,0.5,-,0.5,1,0,22.5,80,0,1,Coritiba
23,102254,br,Walisson Maia,24, D(C),189,75,1,0,46,-,-,-,-,-,58.8,-,1,6.03,1,-,1,-,-,1,-,-,1,-,-,-,1,1,17,58.8,0,0,Coritiba
