,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,281436,,Jackson Caucaia,29, Midfielder,177,71,1,1,151,-,-,-,-,0.5,63.6,-,3.5,7.75,4.5,5,2,-,3.5,1.5,1,-,-,0.5,-,0.5,0.5,0,27.5,63.6,0,1,Figueirense
1,122215,br,Jefferson Nogueira,22, D(R),181,80,3,0,270,-,1,-,-,0.3,63.3,-,3.3,7.68,3.3,4,1.3,-,2.7,1.3,0.3,-,0.7,1.7,-,0.7,1.7,0.7,36.3,63.3,1.3,1.3,Figueirense
2,74448,br,Werley,27, D(C),184,81,1,0,90,-,-,-,-,-,87,-,2,7.27,3,3,-,1,10,-,1,-,1,2,-,-,3,1,54,87,0,0,Figueirense
3,114823,br,Marquinhos Pedroso,22, D(L),175,73,10,0,900,-,1,2,-,0.2,71.8,-,1.6,7.16,2.5,2.4,2.9,0.3,3.9,0.9,0.1,-,0.8,0.9,-,0.3,0.9,0.8,32.3,71.8,1.7,2.2,Figueirense
4,101478,br,Bruno Alves,25, D(C),184,81,10,0,900,1,-,-,-,0.3,75.9,-,2.2,7.16,1.5,2.5,0.6,0.7,6.6,0.2,0.8,-,0.1,0.4,0.2,-,1.1,0.1,29,75.9,0,1.3,Figueirense
5,317809,br,Thiago Rodrigues,27, Goalkeeper,188,86,1,1,136,-,-,-,-,0.5,55,-,1,7.13,-,-,-,-,1,-,-,-,0.5,-,-,-,-,0.5,20,55,0,4.5,Figueirense
6,18770,br,Rafael Moura,33, FW,189,85,8,0,704,5,-,2,-,3.3,65.3,1,2.3,7.09,0.4,0.3,2.4,-,1.9,0.3,0.1,-,1,1.3,1,2.3,3.5,1,18.4,65.3,0.1,0.3,Figueirense
7,146680,br,Marquinhos Barbosa,33, D(C),194,80,5,0,450,-,-,1,-,0.2,76.1,-,2.2,7.01,0.6,1.4,0.6,0.4,7.4,0.4,1.4,-,0.4,0.4,-,0.2,0.6,0.4,23.4,76.1,0,1,Figueirense
8,74444,br,Elicarlos,31, DMC,176,73,9,0,729,-,-,2,-,0.3,79.6,1,1.8,6.83,2.1,2.2,0.4,-,2.2,0.8,0.3,-,0.4,1,-,-,0.4,0.4,33.2,79.6,0.1,2.8,Figueirense
9,146768,,Bady,27, AM(C),170,65,9,1,770,2,1,1,-,1.5,77.1,1,0.4,6.83,1.9,0.5,0.8,-,0.6,1.1,0.1,-,1.7,0.5,-,1.1,2.3,1.7,32.7,77.1,1.5,1.3,Figueirense
