,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,40671,br,Réver,31, D(C),192,84,3,0.0,270,1,-,-,-,2,85.8,1,2,7.69,3,3,-,0.3,6.7,0.3,1.7,-,0.3,0.3,-,0.3,1,0.3,44.7,85.8,0,5.3,Flamengo
1,132298,br,Rafael Vaz,27, D(C),188,83,4,0.0,360,-,-,-,-,1.5,81,-,4.5,7.46,2,2,0.3,0.3,7.8,1.3,0.5,-,0.5,0.8,-,0.3,1.5,0.5,50,81,0,4.8,Flamengo
2,110695,br,Willian Arão,24, DMC,181,74,9,1,822,2,2,1,-,1.5,85.2,3,1.7,7.38,2.7,1.6,1.4,-,1.3,0.9,0.3,-,1,1.1,-,0.6,0.8,1,60.3,85.2,0.2,3.1,Flamengo
3,74433,br,Paulo Victor,29, GK,187,66,3,0,270,-,-,-,-,-,51.2,-,0.3,7.27,0.3,-,-,-,0.7,0.3,-,-,-,0.3,-,-,0.3,0,28,51.2,0,6.7,Flamengo
4,74571,br,Alan Patrick,25, AM(CLR),178,69,9,1,741,2,3,-,-,2.2,85.7,1,0.3,7.08,0.6,0.4,0.4,-,-,0.6,-,-,2.8,2.1,-,3,2,2.8,41.4,85.7,2,1.1,Flamengo
5,248123,,Jorge,20, D(L),184,70,10,0,900,1,-,1,-,0.8,82.8,-,0.9,7.05,2.7,2.5,1.2,0.2,2.7,1.3,-,-,0.8,0.9,0.2,0.9,1.1,0.8,34.9,82.8,0.8,1.2,Flamengo
6,40813,br,Márcio Araújo,32, M(C),172,70,9,0,766,-,-,-,-,0.2,90,-,0.3,7.01,2.9,3,1,0.1,0.8,0.4,0.4,-,0.2,1.7,-,0.3,0.8,0.2,47.6,90,0,2.2,Flamengo
7,149141,br,Alex Muralha,26, GK,188,87,7,0,630,-,-,-,-,-,59.2,1,0.9,6.99,-,-,-,-,1.6,-,-,-,-,0.6,-,-,-,0,22.4,59.2,0,4.9,Flamengo
8,121184,br,Rodinei,24, D(R),175,70,10,0,900,-,-,1,-,0.6,84,-,0.7,6.90,2.4,2.3,0.6,0.3,1.3,0.6,0.1,-,0.6,1.5,0.1,0.7,1.4,0.6,41.3,84,0.4,1.1,Flamengo
9,317652,br,Léo Duarte,19, D(C),183,76,7,0,630,-,-,2,-,0.1,87.8,-,1.3,6.75,1.7,1.9,0.6,0.9,3.4,0.1,0.3,-,-,0.6,-,0.3,0.9,0,38.7,87.8,0,1.7,Flamengo
10,295849,br,Rafael Dumas,21, Defender,184,82,0,1,77,-,-,-,-,1,80.6,-,4,6.69,1,1,-,1,1,1,-,-,-,2,-,1,1,0,36,80.6,0,2,Flamengo
11,28059,br,Éverton,27," D(L),M(CLR)",173,67,8,1,615,1,1,2,1,1,78.4,-,0.3,6.65,1.7,0.3,2,-,0.1,0.2,0.1,-,2,1.2,0.6,1,1.6,2,24.7,78.4,0.9,0.7,Flamengo
12,44488,br,Pará,30," D(LR),M(R)",172,70,0,1,5,-,-,-,-,-,33.3,-,1,6.64,-,2,-,-,-,-,-,-,-,2,-,-,-,0,3,33.3,0,0,Flamengo
13,317654,br,Felipe Vizeu,19, FW,184,82,8,0,569,2,-,-,-,1.8,74.8,-,1.4,6.61,0.4,-,0.9,-,0.6,0.4,0.1,-,0.5,1,0.3,1.6,3.5,0.5,14.9,74.8,0,0.1,Flamengo
14,3729,br,Juan,37, D(C),182,74,3,0,193,-,-,1,-,-,86.7,-,2,6.55,1.7,1.3,0.3,0.3,3.7,-,0.3,-,-,0.7,-,-,0.7,0,42.7,86.7,0,2.7,Flamengo
15,317653,co,Gustavo Cuéllar,23, Midfielder,177,76,2,5,268,-,-,-,-,0.1,92.9,-,-,6.51,1.9,1,0.4,-,0.6,0.7,0.1,-,0.3,0.4,0.1,0.6,0.7,0.3,28.3,92.9,0,1.1,Flamengo
