,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,149738,br,Gustavo Scarpa,22," D(L),M(LR)",176,65,10,0.0,870,2,2,-,-,4.2,76.7,1,1,7.21,1.2,0.6,1,-,0.1,0.4,-,-,3.1,1,0.2,2.3,2.3,3.1,49.7,76.7,3.4,3.6,Fluminense
1,228702,br,Edson,24, DMC,183,75,8,0.0,641,-,-,1,-,0.6,84.5,1,3.1,7.06,2.5,1.9,0.9,-,2.5,0.5,0.5,-,0.8,0.9,-,0.9,1.4,0.8,48.4,84.5,0.1,1,Fluminense
2,75473,br,Gum,30, D(C),189,86,10,0.0,900,1,-,1,-,1,84.8,1,3.9,7.02,1.3,1.8,0.8,0.4,4.1,0.2,1.3,-,0.2,0.3,0.2,0.4,0.6,0.2,47.4,84.8,0,3.7,Fluminense
3,294185,,Douglas,19, DMC,173,71,6,1,559,-,1,2,-,1.3,87.7,-,0.4,6.98,3.6,2.6,3.3,-,0.9,0.3,0.1,-,1,0.6,-,1.1,0.6,1,56.7,87.7,0,1.7,Fluminense
4,20753,br,Cícero,31, M(CLR),181,72,10,0,900,1,1,2,-,2.1,86,-,3.6,6.92,0.9,1.1,1.6,-,1.2,0.8,-,-,1.1,1.9,0.8,0.8,1,1.1,62.9,86,0.3,3.9,Fluminense
5,114114,br,Wellington Silva,28, D(LR),177,64,7,0,630,-,-,1,-,0.7,81.2,-,1.3,6.85,2.9,2.1,1.6,0.3,2.1,0.6,0.3,-,1,1.1,0.1,2,1.9,1,36.4,81.2,1.1,1.3,Fluminense
6,22909,br,Pierre,34, DMC,172,67,4,0,280,-,-,-,-,0.3,85.8,-,1.3,6.75,3.3,2,1,-,1.5,0.8,0.5,-,0.3,0.8,-,0.5,0.3,0.3,42.3,85.8,0,1.3,Fluminense
7,40765,br,Henrique,29, D(CR),187,84,10,0,900,-,-,1,-,0.6,91.1,-,1.9,6.74,1.1,1.7,0.5,0.5,3.1,0.5,0.8,-,-,0.6,-,0.2,0.9,0,43.6,91.1,0,2.5,Fluminense
8,146789,br,Giovanni,27, D(L),182,73,3,3,332,-,-,2,-,0.5,73.4,-,0.8,6.72,1.2,2.8,0.5,-,1.3,0.5,0.2,-,0.5,0.5,0.2,0.3,0.7,0.5,23.8,73.4,0.3,0.8,Fluminense
9,15418,br,Fred,32, FW,185,75,6,0,538,2,-,1,-,2.2,77.7,-,1.7,6.65,0.3,0.2,2.7,-,0.7,0.5,-,-,1.5,3.2,0.5,1.3,3,1.5,24.7,77.7,0.3,0.5,Fluminense
10,16078,br,Magno Alves,40, FW,176,64,1,6,248,1,1,-,-,1.3,80.5,-,0.9,6.62,0.3,-,0.1,-,0.3,-,-,-,1.1,0.7,0.1,0.3,1.3,1.1,11,80.5,0.1,0.4,Fluminense
11,28485,br,Jonathan,30," D(R),M(R)",171,72,10,0,823,-,-,2,-,0.2,84.9,-,0.6,6.61,1.4,1.1,0.7,0.2,0.6,-,0.3,-,0.9,0.4,0.1,0.1,1.4,0.9,43.6,84.9,0.7,1.2,Fluminense
12,81716,br,Osvaldo,29," AM(CLR),FW",170,68,3,3,257,-,-,-,-,0.8,69.6,-,-,6.45,0.7,0.3,0.3,-,-,-,0.2,-,0.5,0.5,0.3,1,1.3,0.5,9.3,69.6,0.8,0.2,Fluminense
13,317804,br,Richarlison,19, Forward,179,71,8,1,509,-,1,1,-,1.1,70.1,-,0.4,6.44,1.1,0.1,0.8,-,0.6,0.3,-,-,1.1,1.9,0.3,1.9,2.7,1.1,13,70.1,0.1,0.1,Fluminense
14,101457,br,Maranhão,26," D(L),M(R)",168,63,1,2,126,-,-,1,-,0.7,80,-,0.3,6.44,1.3,0.7,0.7,-,-,0.3,-,-,1,0.3,-,1.3,1,1,11.7,80,0.7,0.7,Fluminense
15,242791,,Gerson,19, AM(CR),175,66,0,2,73,-,-,-,-,0.5,88.5,-,1.5,6.44,0.5,-,0.5,-,0.5,0.5,-,-,0.5,2,-,1,1,0.5,13,88.5,0.5,0.5,Fluminense
16,113631,br,Marcos Júnior,23, AM(CLR),167,66,3,6,355,3,-,1,-,1.6,84.1,-,0.1,6.43,0.2,0.3,0.7,-,0.1,0.4,-,-,0.7,0.9,0.1,0.4,0.8,0.7,18.2,84.1,0.2,0.7,Fluminense
17,40767,br,Diego Cavalieri,33, GK,191,86,10,0,900,-,-,-,-,-,45.7,-,-,6.40,-,0.2,-,-,0.8,-,-,-,-,-,-,-,0.4,0,17.5,45.7,0,5.4,Fluminense
18,297581,,Ayrton,19, Defender,180,72,0,1,16,-,-,-,-,-,100,-,-,6.29,2,-,-,-,1,1,-,-,-,-,-,-,-,0,1,100,0,0,Fluminense
19,101472,br,Dudú,25, Midfielder,174,72,0,1,51,-,-,-,-,2,75,-,-,5.77,-,-,-,-,-,-,-,-,-,-,-,4,1,0,32,75,0,1,Fluminense
