,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,147914,br,Luan,23," AM(CLR),FW",169,65,9,0.0,784,5,1,3,-,3.9,81.8,4,0.6,7.84,2.1,0.7,1.6,-,-,0.7,-,-,3,3.1,0.3,3.1,3.3,3,45.7,81.8,1.4,0.8,Gremio
1,18768,br,Edilson,29, D(R),177,76,8,0.0,720,1,1,3,-,1.8,80.4,-,1.4,7.57,2.9,1.8,2.3,0.1,2.1,0.8,0.4,-,1.3,1.8,-,0.5,1.5,1.3,52.3,80.4,1,2.4,Gremio
2,31975,br,Geromel,30, D(C),190,84,9,0.0,780,1,-,1,-,0.4,75.4,-,3.7,7.48,2.3,2.4,1,0.8,5.2,0.8,1,-,0.4,0.7,-,0.2,0.8,0.4,39.3,75.4,0.1,2,Gremio
3,29954,br,Maicon,30, DMC,184,87,8,0.0,684,-,1,3,-,0.5,85.8,-,0.4,7.18,2.8,1.3,1.6,0.1,2.8,1.3,0.8,-,1.3,1.5,-,1.6,1.3,1.3,68.5,85.8,0.4,4,Gremio
4,28378,br,Marcelo Oliveira,29," D(CL),DMC",184,76,5,0.0,397,1,-,2,-,0.6,79.7,-,1.4,7.16,2,1.4,1.8,0.2,2.2,0.2,0.4,-,0.2,0.2,0.2,0.2,1.2,0.2,41.4,79.7,0.2,1.4,Gremio
5,68120,br,Fred,30, D(C),188,83,4,0.0,282,1,-,1,-,0.3,70.7,1,2.3,7.12,0.3,2,0.8,0.5,5.5,0.3,0.5,-,0.5,0.8,0.3,-,0.8,0.5,24.8,70.7,0,1.3,Gremio
6,33183,br,Giuliano,26, AM(CR),171,68,10,0.0,875,3,1,-,-,1.8,85.4,-,1.2,7.10,1.4,0.9,1.2,-,0.7,1.1,0.1,-,1.4,1.1,0.1,2,2.3,1.4,49.2,85.4,0.1,0.6,Gremio
7,147923,br,Walace,21, DMC,185,75,8,0.0,720,-,-,1,-,1.3,82.4,-,1.9,6.99,2.6,1.8,1.1,-,2.1,1.3,0.1,-,0.4,1,-,0.8,2.6,0.4,56.3,82.4,0,1.5,Gremio
8,279482,br,Bruno Grassi,29, GK,193,87,3,0.0,270,-,-,1,-,-,53.3,-,1,6.98,-,-,-,-,0.7,-,-,-,-,-,-,-,-,0,20,53.3,0,6.7,Gremio
9,255362,br,Marcelo Hermes,21, D(L),177,68,5,3,591,1,1,2,-,0.6,74.8,-,0.9,6.93,2.5,1.4,1.3,0.4,2,0.4,0.3,-,0.6,1,-,0.3,1,0.6,34.3,74.8,0.8,0.6,Gremio
10,41044,br,Marcelo Grohe,29, GK,188,80,7,0,630,-,-,1,-,-,37.9,-,0.4,6.86,-,-,-,-,1.4,-,-,-,-,0.1,-,-,0.1,0,20,37.9,0,2.6,Gremio
11,41502,br,Wallace Reis,28, D(C),183,76,4,0,293,-,-,-,-,-,78.9,-,2.8,6.81,1.3,2.3,0.5,-,2.5,0.3,0.3,-,-,0.5,-,-,-,0,32,78.9,0,1.5,Gremio
12,318314,,Jailson,20, Midfielder,0,0,1,3,186,1,-,1,-,1,82.4,-,0.3,6.59,2.3,0.5,1,-,1,0.3,0.3,-,0.3,0.5,-,-,1.5,0.3,25.5,82.4,0,0.3,Gremio
