,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,243276,,William,21, D(R),173,68,10,0.0,900,-,3,2,-,0.7,77.5,2,1,7.78,4.3,4,2.1,0.1,2,1.3,0.5,-,1.9,1.1,0.1,1.4,2.3,1.9,44.4,77.5,1.4,2.2,Internacional
1,76879,br,Fernando Bob,28, DMC,180,74,8,0.0,720,-,-,3,-,0.1,84.8,1,3.3,7.38,4,3.4,3.8,0.1,1.9,1.4,0.1,-,0.8,1.1,-,0.9,1.5,0.8,68.1,84.8,0,5.1,Internacional
2,31983,br,Ernando,28, D(CL),184,75,10,0.0,900,1,2,1,-,0.5,74.3,1,2.7,7.20,1,3.8,0.5,0.7,4.1,0.2,0.9,-,0.2,0.1,-,-,0.1,0.2,33.8,74.3,0,1.9,Internacional
3,82123,br,Paulão,30, D(C),187,78,8,0.0,706,-,-,4,-,0.1,76.9,-,2.8,7.17,2.1,2.1,0.9,0.5,4.8,0.8,1.1,-,0.1,0.9,-,0.4,0.6,0.1,40,76.9,0.1,4.1,Internacional
4,114098,br,Vitinho,22," AM(CLR),FW",178,69,10,0.0,852,4,2,3,-,2.8,74.5,-,0.8,7.16,1.6,0.4,1.8,-,-,0.7,-,-,1.6,2.2,0.6,2.3,4.1,1.6,23.1,74.5,0.8,0.8,Internacional
5,74485,br,Danilo Fernandes,28, GK,189,86,9,0.0,810,-,-,1,-,-,51.1,-,0.3,7.00,0.1,-,-,-,1.1,-,-,-,-,0.1,-,-,0.1,0,20.7,51.1,0,5.2,Internacional
6,137261,,Artur,21, D(L),178,75,8,1,742,-,1,3,-,0.6,69.1,-,2.1,7.00,3.1,2.3,2.4,0.3,2.2,0.8,0.6,-,0.6,0.7,0.1,0.4,1.4,0.6,34.9,69.1,0.6,1.8,Internacional
7,130507,br,Alan Costa,25, D(C),190,82,2,0,180,-,-,1,-,0.5,83.7,-,2.5,6.98,0.5,2.5,2,-,9,-,2,-,-,0.5,-,-,-,0,24.5,83.7,0,4,Internacional
8,114147,br,Alisson,23, GK,191,91,1,0,90,-,-,-,-,-,71.4,-,-,6.95,-,-,-,-,2,-,-,-,-,1,-,-,-,0,21,71.4,0,2,Internacional
9,117622,br,Fabinho,29, DMC,180,69,9,0,768,-,-,-,-,0.4,81.9,-,1.7,6.94,2.1,2.2,1.3,-,1.7,0.4,0.3,-,0.2,2.3,0.4,1.1,1.9,0.2,36.2,81.9,0.1,0.6,Internacional
10,21723,br,Anderson,28, M(C),176,69,1,3,170,1,1,-,-,0.5,78.7,1,-,6.86,0.3,0.3,0.8,-,-,0.5,-,-,2,0.8,-,0.5,0.5,2,22.3,78.7,0.8,0.8,Internacional
11,92032,br,Eduardo Sasha,24," AM(LR),FW",173,66,9,0,810,3,-,4,-,1.8,79.8,1,0.4,6.83,1.6,0.2,0.3,-,0.6,0.6,-,-,0.7,1.3,0.3,2.1,3.2,0.7,28,79.8,0.1,0.6,Internacional
12,119867,br,Rodrigo Dourado,22, DMC,186,80,2,1,190,-,-,-,-,0.7,84.9,-,2,6.76,1.3,2.3,1.7,-,0.7,0.7,1,-,0.3,0.3,-,-,1.3,0.3,39.7,84.9,0,2,Internacional
13,255191,,Geferson,22, D(L),181,75,2,1,134,-,-,-,-,-,80,-,0.7,6.69,1,2.7,1.3,-,2.3,0.7,-,-,-,-,-,-,1.3,0,23.3,80,0,1.7,Internacional
14,137484,br,Jair,21, Midfielder,178,75,0,1,45,-,-,1,-,-,84.8,-,2,6.69,2,-,2,-,2,-,-,-,1,3,-,-,-,1,33,84.8,0,2,Internacional
15,254588,,Andrigo,21, AM(C),170,71,6,1,450,-,1,2,-,1.4,79.9,-,-,6.54,1.4,0.3,2.4,-,-,0.4,0.1,-,0.7,1.1,-,1.7,2.1,0.7,22.7,79.9,0.9,0.3,Internacional
16,139491,br,Aylon,24, Forward,180,70,2,7,257,3,-,1,-,1.2,75,1,0.9,6.45,0.7,0.2,0.6,-,0.1,0.1,-,-,0.1,0.7,-,0.4,0.8,0.1,8,75,0,0.1,Internacional
17,30078,br,Nílton,29, DMC,184,83,0,2,56,-,-,-,-,0.5,80.6,-,2.5,6.40,-,1,-,-,1,-,-,-,-,0.5,-,-,-,0,15.5,80.6,0,1.5,Internacional
18,253426,,Gustavo Ferrareis,20, AM(R),177,71,7,2,631,-,1,2,-,1.3,74.3,-,1.2,6.38,0.2,0.3,1.4,-,0.3,0.6,0.1,-,0.8,1.2,0.1,1.2,2.9,0.8,25.6,74.3,0.1,1.1,Internacional
19,279533,br,Alisson Farias,20, Midfielder,171,70,0,1,7,-,-,-,-,1,100,-,-,6.30,-,-,-,-,-,-,-,-,1,-,-,-,-,1,5,100,0,0,Internacional
20,86685,br,Anselmo,27, DMC,182,79,3,2,173,-,-,3,-,0.2,78.6,-,0.8,6.29,1.8,0.8,1.6,-,0.8,0.8,-,-,0.2,0.2,-,0.8,0.6,0.2,16.8,78.6,0,0.8,Internacional
21,317822,,Paulo Magalhaes,26, Defender,175,73,0,1,11,-,-,-,-,-,50,-,-,6.27,2,-,-,-,-,-,-,-,-,1,-,-,-,0,2,50,0,0,Internacional
22,19109,br,Alex,34, AM(CLR),175,71,3,5,266,-,1,2,1,1.3,82.2,-,-,6.24,1.1,0.4,1.1,-,0.4,-,-,-,0.6,0.5,0.1,0.4,0.5,0.6,16.1,82.2,0.1,1.3,Internacional
23,41226,br,Marquinhos,26, AM(CLR),177,68,0,1,24,-,-,-,-,-,76.9,-,-,6.06,-,-,-,-,-,-,-,-,-,1,-,1,-,0,13,76.9,0,1,Internacional
24,297243,br,Bruno Baio,20, Forward,197,89,0,1,8,-,-,-,-,-,75,-,1,5.98,-,-,-,-,-,-,-,-,-,-,1,-,2,0,4,75,0,0,Internacional
