,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,279379,br,Gabriel Jesus,19," AM(L),FW",178,73,10,0.0,877,6,2,2,-,3,72.3,3,2,7.69,2.3,0.9,2.6,-,1.2,0.9,0.1,-,1.4,3.4,1.3,2.1,3.1,1.4,28.2,72.3,0.2,0.6,Palmeiras
1,26410,br,Egídio,30, D(L),174,69,5,0.0,388,-,-,-,-,0.8,82,-,0.6,7.48,4,3.4,0.8,0.2,1.4,1.4,0.2,-,1,1,-,0.4,2.4,1,53.4,82,1.2,2.8,Palmeiras
2,75752,br,Dudu,24, AM(CLR),165,66,7,1,659,2,4,1,-,1.6,79.9,1,0.4,7.39,0.9,0.4,0.8,-,-,0.4,-,-,2.8,3,0.5,1.3,3,2.8,29.3,79.9,2.5,2.3,Palmeiras
3,111227,br,Vitor Hugo,25, D(C),187,80,9,0,810,2,1,3,-,0.6,84.1,2,4.2,7.34,2,2.8,1.3,0.3,3.1,0.6,0.6,-,0.1,0.2,-,0.1,0.2,0.1,57.4,84.1,0,1.9,Palmeiras
4,4338,br,Edu Dracena,35, D(C),187,79,3,1,275,-,-,1,-,0.8,87.4,1,4.8,7.20,1.3,2.3,1.5,0.3,2.8,0.3,0.3,-,-,1.8,-,-,0.5,0,45.8,87.4,0,3.5,Palmeiras
5,149131,br,Fabiano,24, D(R),188,82,0,1,45,-,-,-,-,1,86.4,-,1,7.17,2,3,-,-,2,1,-,-,1,-,-,1,1,1,22,86.4,1,5,Palmeiras
6,40803,br,Cleiton Xavier,33, AM(C),178,72,5,3,475,1,5,1,-,2,84.6,-,0.8,7.00,1.1,0.3,1,-,0.1,0.6,-,-,1.6,0.3,0.3,0.4,2,1.6,34.9,84.6,0.6,0.6,Palmeiras
7,254275,,Roger Guedes,19, AM(R),178,67,9,1,705,3,-,1,-,2.2,72.1,1,0.7,6.95,0.8,0.5,1.2,0.2,0.3,0.4,-,-,0.5,1.5,-,1.1,2.7,0.5,19,72.1,0.5,0.4,Palmeiras
8,42211,br,Jean,30," D(R),M(C)",170,70,10,0,856,2,1,1,-,1,82.7,-,0.5,6.94,2,1.3,1.1,0.2,1.3,0.7,0.4,-,0.7,0.3,-,0.3,0.8,0.7,41.5,82.7,1.2,3.6,Palmeiras
9,317656,br,Tchê Tchê,23, DMC,175,66,10,0,892,-,1,1,-,0.8,87,-,0.6,6.92,1.8,1.4,1.3,0.1,0.8,0.9,0.1,-,0.9,0.7,0.1,1.2,2.6,0.9,43.7,87,0.4,1.1,Palmeiras
10,295008,br,Thiago Santos,26, DMC,181,78,4,1,284,1,-,2,-,0.4,79.1,-,1.6,6.91,2.6,2.2,2.2,-,1.4,0.2,-,-,-,1.2,0.2,0.4,0.2,0,22,79.1,0,2,Palmeiras
11,82241,br,Moisés,28, M(C),184,76,6,4,651,1,-,2,-,1.7,79.7,-,0.9,6.82,2,0.7,0.6,0.1,0.3,0.7,0.2,-,1.3,1.3,-,1.2,1,1.3,42.9,79.7,0.1,2.8,Palmeiras
12,20055,py,Lucas Barrios,31, FW,187,83,1,0,74,-,-,1,-,-,81,-,2,6.79,-,-,2,-,-,-,-,-,1,3,1,-,1,1,21,81,0,0,Palmeiras
13,31960,br,Fernando Prass,37, GK,191,89,10,0,900,-,-,1,-,-,65.5,-,0.3,6.73,-,-,-,-,1.4,-,-,-,-,0.2,-,-,0.1,0,30.7,65.5,0,7.6,Palmeiras
14,551,br,Zé Roberto,41," D(L),M(CL)",172,68,4,2,388,-,-,2,-,0.3,85.3,-,0.5,6.65,1.5,1.2,1.3,0.2,1.7,1.5,-,-,0.8,0.8,-,0.2,0.2,0.8,29.5,85.3,0.7,1.2,Palmeiras
15,78057,br,Luan,27, AM(L),184,75,0,1,31,-,-,-,-,-,71.4,-,2,6.60,1,-,-,-,-,-,-,-,-,1,-,-,1,0,21,71.4,1,1,Palmeiras
16,243476,,Matheus Sales,21, DMC,178,69,5,1,376,-,-,2,-,0.3,82.4,-,1.5,6.54,2.3,0.5,2.2,0.2,0.3,0.2,-,-,0.5,1.5,-,0.3,1,0.5,34.2,82.4,0,0.2,Palmeiras
17,20387,br,Alecsandro,35, FW,183,80,3,2,243,1,-,-,-,1,72,-,0.6,6.50,1.2,-,2.2,-,-,0.2,0.2,-,0.6,0.4,-,1,0.6,0.6,16.4,72,0,0.4,Palmeiras
18,36547,ar,Jonathan Cristaldo,27," AM(C),FW",178,71,0,2,44,1,-,-,-,0.5,85.7,-,-,6.47,-,0.5,-,-,-,0.5,-,-,0.5,-,0.5,1,0.5,0.5,3.5,85.7,0,0,Palmeiras
19,202106,br,Thiago Martins,21, D(C),185,76,7,1,644,1,-,3,-,0.3,83.2,-,1.1,6.44,1.3,1.4,2.1,0.3,1.3,0.3,0.5,-,-,0.6,0.1,-,0.8,0,43.9,83.2,0,2.1,Palmeiras
20,31770,tr,Rafael Marques,33," AM(LR),FW",190,80,1,5,165,-,1,1,-,0.2,63.6,-,1.5,6.43,0.2,0.5,0.3,-,0.3,0.2,-,-,0.8,0.7,-,0.3,1,0.8,12.8,63.6,0,0.5,Palmeiras
21,83309,br,Fabrício,29," D(L),DMC",170,72,1,2,104,-,-,1,-,0.3,74.6,-,0.3,6.30,1.3,0.7,0.3,-,0.7,0.3,-,-,0.3,0.7,-,-,-,0.3,22.3,74.6,0.3,2,Palmeiras
22,318123,,Vitinho,18, Midfielder,176,68,0,1,12,-,-,-,-,-,100,-,-,6.07,-,-,-,-,-,-,-,-,-,-,-,2,2,0,7,100,0,1,Palmeiras
23,132297,br,Erik,21," AM(CLR),FW",170,65,0,1,13,-,-,-,-,-,100,-,-,5.85,-,-,-,-,-,2,-,-,-,-,-,-,3,0,5,100,0,0,Palmeiras
