,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,110930,br,Reinaldo,26," D(L),M(L)",178,74,10,0.0,900,1,3,2,-,0.6,73.5,1,0.9,6.98,2.5,1.8,1.2,-,2.5,0.7,0.1,-,1.2,0.9,0.1,0.7,2.7,1.2,40.8,73.5,1.6,1.2,Ponte Preta
1,75554,br,João Vitor,28, M(CLR),176,66,10,0.0,900,-,-,2,-,0.4,84.1,-,1.6,6.83,2.2,2.3,2.5,-,1.1,0.4,0.4,-,0.9,1.6,-,0.8,1.4,0.9,61.8,84.1,0,3.9,Ponte Preta
2,114215,br,Douglas Grolli,26, D(C),188,79,3,0.0,270,-,-,1,-,0.7,76.4,-,4,6.73,0.7,0.7,1,0.3,7.7,-,0.7,-,-,0.3,-,-,0.7,0,29.7,76.4,0,2.3,Ponte Preta
3,86576,br,Fábio Ferreira,31, D(C),187,80,7,0.0,630,1,-,2,-,0.7,84.7,-,3,6.72,1.1,2.1,0.9,0.6,3.3,0.3,0.9,-,0.4,0.7,0.1,0.1,0.6,0.4,46.7,84.7,0,3,Ponte Preta
4,76808,br,Felipe Azevedo,29, AM(LR),175,74,9,0.0,735,4,1,-,-,2,68.4,1,0.8,6.69,1.2,0.3,0.7,-,1.6,0.6,-,1,0.6,2,0.1,2.1,2.2,0.6,25.7,68.4,0,0.4,Ponte Preta
5,317810,br,Matheus Jesus,19, Midfielder,0,0,4,4,380,-,-,1,-,0.4,78.1,-,1,6.65,2.5,0.6,1.3,-,0.3,0.3,0.4,-,0.5,0.5,-,0.9,1,0.5,22.9,78.1,0.1,1.3,Ponte Preta
6,114171,br,Renê Júnior,26, DMC,180,73,6,1,443,-,-,1,-,0.9,82,-,1.3,6.60,2.3,1.1,1.7,-,1,0.7,0.4,-,0.4,1.6,-,0.9,2.3,0.4,35.7,82,0,1.6,Ponte Preta
7,279485,br,Jeferson,20, D(R),170,60,9,0,810,1,-,3,-,0.9,73.2,-,1.1,6.57,1.6,1.8,1.9,0.2,1.4,0.3,0.1,-,0.9,0.9,-,0.7,1.3,0.9,30.7,73.2,0.8,1,Ponte Preta
8,295763,br,Ravanelli,18, Midfielder,180,71,4,1,307,-,1,1,-,1.2,72,-,1.2,6.49,1.2,0.4,1.2,-,-,0.6,0.2,-,1.6,1.4,0.2,1.8,1.8,1.6,25,72,1.2,2.2,Ponte Preta
9,74424,br,Rhayner,25, AM(CLR),179,75,1,1,66,-,-,-,-,1,80,-,0.5,6.49,2,1,-,-,1,1,0.5,-,1.5,-,-,0.5,2.5,1.5,5,80,0,0,Ponte Preta
10,136084,,Kadu,29, D(C),190,80,10,0,900,-,-,2,-,0.2,81.8,-,2.7,6.49,1,1.1,1.3,0.4,6,0.1,1,1,0.1,1,-,0.3,0.9,0.1,42.2,81.8,0,2.2,Ponte Preta
11,295190,,Clayson,21, AM(L),170,63,8,0,515,1,1,1,1,1.4,79.7,1,0.1,6.48,0.8,0.4,1.1,-,0.3,0.4,-,-,1.5,1.4,0.1,2.3,3.1,1.5,24.6,79.7,1.1,1,Ponte Preta
12,101729,br,Thiago Galhardo,26, AM(L),182,69,1,5,206,-,-,2,-,1.2,73.3,-,0.8,6.46,1.3,0.3,1.8,0.2,0.2,0.3,-,-,0.7,1,0.2,0.7,1.8,0.7,16.8,73.3,0.8,1.2,Ponte Preta
13,63806,br,Nino Paraíba,30, D(R),168,62,1,2,180,-,-,-,-,1.7,66.7,-,1.3,6.42,1.3,1,0.3,-,-,-,-,-,0.7,1.3,-,1.3,1.3,0.7,17,66.7,1.7,0.3,Ponte Preta
14,279487,br,João Carlos,28, GK,190,92,10,0,900,-,-,2,-,-,57.4,-,0.5,6.41,-,0.3,-,-,0.7,-,-,-,-,0.1,-,-,-,0,28.2,57.4,0,5.4,Ponte Preta
15,91548,br,Gilson,30, D(L),177,73,0,1,32,-,-,-,-,1,57.1,-,1,6.37,-,-,-,-,-,-,-,-,2,-,-,-,-,2,7,57.1,0,1,Ponte Preta
16,247581,br,William Pottker,22, Forward,180,71,0,5,162,1,-,2,-,1.2,72.1,-,0.4,6.28,0.6,0.4,0.6,-,0.2,-,-,-,0.6,0.4,-,0.2,1.8,0.6,12.2,72.1,0.2,0.2,Ponte Preta
17,15636,br,Roger,31, FW,184,79,6,1,442,-,1,1,-,2,73.4,-,1.6,6.25,0.4,-,0.9,-,0.3,0.3,0.1,-,0.7,0.6,0.9,1.6,3.7,0.7,17.7,73.4,0,0.6,Ponte Preta
18,21613,br,Wellington Paulista,32, FW,183,72,5,4,552,1,-,3,-,1.1,65,-,1.3,6.24,0.2,0.1,1.6,-,0.3,0.6,0.1,-,0.8,0.9,0.2,1,1.4,0.8,13,65,0,0,Ponte Preta
19,296473,,Cristian,36, AM(C),169,65,6,3,511,-,-,2,-,0.7,86.4,-,-,6.18,0.7,0.2,1,-,-,0.9,-,-,0.6,1,-,1.1,1.3,0.6,24.4,86.4,0.1,0.4,Ponte Preta
20,28380,br,Felipe Menezes,28, AM(C),185,82,0,1,8,-,-,-,-,-,90,-,-,6.15,1,-,-,-,-,-,-,-,-,-,-,1,-,0,10,90,0,0,Ponte Preta
21,102002,br,Tiago Alves,32, D(C),186,78,0,1,11,-,-,-,-,-,-,-,-,5.88,-,-,-,-,-,-,-,-,-,-,-,-,-,0,3,0,0,0,Ponte Preta
