,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,16914,br,Vítor,33, D(R),170,66,4,0.0,328,-,-,-,-,0.5,75.6,-,2.3,7.25,2.5,3.3,0.5,0.3,2.5,0.5,0.3,-,0.3,1.3,-,0.5,1,0.3,39,75.6,0.5,1.8,Santa Cruz
1,284602,,Keno,26, AM(L),178,68,7,1,661,2,3,2,-,2,68.7,1,0.6,7.07,2.4,0.9,0.8,-,0.3,1.1,-,-,1.5,1.4,0.1,1.6,2.5,1.5,22.4,68.7,0.5,0.5,Santa Cruz
2,15104,br,Grafite,37, FW,189,88,9,0,762,7,1,2,-,2.1,64.5,2,2,7.01,0.6,-,3.8,0.1,0.8,0.3,0.1,-,0.1,2.1,1.1,2.7,4.3,0.1,13.4,64.5,0.1,0.1,Santa Cruz
3,317749,,Neris,24, D(C),190,88,7,0,630,-,-,3,-,0.1,84.1,-,2.4,6.93,0.6,2.4,1.1,-,3.4,0.3,0.7,-,-,1.3,-,-,1.3,0,33.3,84.1,0.1,3.1,Santa Cruz
4,104866,br,João Paulo,25, DMC,171,71,7,1,679,-,1,2,-,0.9,82.5,1,0.8,6.91,3,1.5,2.1,-,1.1,1.5,0.4,-,1.4,1.6,-,1.6,1.6,1.4,52,82.5,0.4,3.3,Santa Cruz
5,282865,br,Tiago Costa,29, D(L),175,75,9,0,786,-,1,4,-,0.3,79.2,-,0.9,6.79,3.1,2.4,2.1,0.1,1.2,0.6,-,1,0.7,1.1,-,0.4,2.1,0.7,32.1,79.2,0.6,0.1,Santa Cruz
6,317748,br,Tiago Cardoso,32, GK,185,82,10,0,900,-,-,1,-,-,63.1,1,0.4,6.78,0.3,0.1,-,-,0.8,-,-,-,0.1,0.1,-,-,0.4,0.1,18.7,63.1,0,6.5,Santa Cruz
7,130508,br,Arthur,24," AM(R),FW",176,75,9,1,806,2,-,1,-,1.6,70.2,-,1.1,6.61,0.3,1.2,1.4,-,1.9,0.4,0.2,-,1,2.1,0.3,1.7,3.3,1,18.8,70.2,0.3,0.6,Santa Cruz
8,16840,br,Léo Moura,37, D(R),176,65,6,1,488,-,1,2,-,0.1,86.1,-,0.6,6.55,1.9,1.4,0.7,-,1.4,0.9,-,-,0.7,0.6,-,0.3,1.1,0.7,31.9,86.1,0.4,2.7,Santa Cruz
9,317752,br,Allan Vieira,25, Defender,181,79,1,1,91,-,-,-,-,1,75.5,-,0.5,6.53,2,2.5,0.5,-,1,0.5,-,-,-,-,-,0.5,0.5,0,24.5,75.5,0,1,Santa Cruz
10,41090,br,Danny Morais,30, D(C),188,78,10,0,900,-,-,1,-,-,81.2,-,2.3,6.52,0.4,1.9,0.7,0.3,4.7,0.5,0.3,-,-,0.1,0.1,0.1,0.4,0,36.2,81.2,0,1.8,Santa Cruz
11,102139,br,Alemão,29, D(C),190,84,2,1,155,-,-,1,-,-,84.9,-,2.3,6.51,1.7,1,1,-,5.3,1,1,-,-,1,-,-,0.7,0,17.7,84.9,0,1,Santa Cruz
12,146767,br,Mario Sérgio,24, D(R),174,67,0,1,32,-,-,1,-,-,90.9,-,-,6.47,1,2,1,1,-,-,1,-,1,1,-,-,-,1,11,90.9,0,0,Santa Cruz
13,40784,br,Wallyson,27," AM(CLR),FW",179,74,4,6,428,-,1,2,-,0.5,72.7,-,0.5,6.47,0.4,0.5,0.6,-,0.3,0.5,0.1,-,1.2,0.5,0.1,1,1,1.2,13.2,72.7,0.9,0.8,Santa Cruz
14,122733,br,Uillian Correia,26, DMC,184,74,8,0,720,-,1,3,1,0.4,85,-,1.3,6.46,2,1.5,3.3,-,1.3,1.4,0.3,-,0.8,0.9,-,0.6,1.3,0.8,39.1,85,0,3.8,Santa Cruz
15,317750,br,Fernando Gabriel,28, Midfielder,179,73,4,2,310,1,-,1,-,1.2,74.4,-,0.3,6.43,1.2,-,1,-,0.5,1.2,-,-,-,0.7,-,0.5,1.3,0,21.5,74.4,0.5,2.2,Santa Cruz
16,108660,br,Everaldo,24, FW,181,80,1,2,98,-,-,-,-,1.3,77.3,-,2,6.38,0.7,0.7,0.3,-,1.3,1.3,-,-,0.3,0.7,-,0.7,0.7,0.3,7.3,77.3,0,0,Santa Cruz
17,317751,,Wellington,22, Midfielder,180,72,2,0,170,-,-,2,-,-,81.1,-,0.5,6.32,0.5,0.5,5,-,1.5,-,-,-,-,2.5,-,-,1,0,26.5,81.1,0,0.5,Santa Cruz
18,318125,br,Leandro Lima,30, Midfielder,169,63,1,3,142,-,-,-,-,0.8,88.2,-,0.5,6.27,0.3,1.8,1,-,0.5,1.5,-,-,0.3,0.8,-,0.3,0.5,0.3,19,88.2,0,3.3,Santa Cruz
19,317753,,Daniel Costa,28, Midfielder,183,80,1,2,97,-,-,-,-,1.7,78.7,-,0.3,6.23,0.3,-,0.7,-,-,-,-,-,1.3,-,-,0.7,1,1.3,20.3,78.7,0.3,1.7,Santa Cruz
20,318382,,Lelê,26, Midfielder,165,58,4,2,408,1,-,1,-,1.3,80.8,-,-,6.15,0.3,0.5,2.3,-,-,0.5,0.2,-,0.7,0.8,-,2.3,3,0.7,27.8,80.8,0.2,1.8,Santa Cruz
21,132465,br,Bruno Moraes,27, FW,184,78,1,4,84,-,1,-,-,-,84.6,-,0.2,6.10,0.2,-,-,-,0.2,-,-,-,0.2,0.4,-,-,0.8,0.2,2.6,84.6,0,0.2,Santa Cruz
22,317955,ec,Alex Bolaños,31, Midfielder,179,76,2,1,114,-,-,-,-,-,87.5,-,0.3,6.01,1,-,1.3,-,-,1.3,-,-,0.3,-,-,0.3,0.3,0.3,18.7,87.5,0,0.7,Santa Cruz
23,75732,br,Roberto,25, D(L),176,76,1,1,96,-,-,-,1,0.5,87.7,-,0.5,5.72,1.5,1.5,2,0.5,1,1,-,-,-,-,-,0.5,-,0,28.5,87.7,0,1.5,Santa Cruz
