,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,318922,,Rodrigão,22, Forward,186,88,1,0.0,74,1,1,-,-,5,76.2,-,4,8.35,-,1,-,-,1,-,-,-,3,-,-,2,3,3,21,76.2,0,0,Santos FC
1,243949,br,Caju,20, D(L),185,70,1,0.0,86,-,-,-,-,-,85.5,-,1,7.81,5,2,1,-,1,1,-,-,1,-,-,-,3,1,62,85.5,1,4,Santos FC
2,130886,br,Gabriel,19," AM(LR),FW",170,68,5,0.0,450,3,1,-,-,3,84.3,1,0.4,7.45,0.2,-,1.8,-,-,1,-,-,1.8,2.8,2,1.4,2.2,1.8,40.8,84.3,0.2,1.4,Santos FC
3,147833,br,Zeca,22, D(L),170,68,9,0.0,810,1,-,3,-,0.9,84.8,2,1,7.17,3.2,2.3,1.8,0.2,2,0.3,0.3,-,0.8,0.7,-,1.2,1.6,0.8,51.8,84.8,0.3,2.4,Santos FC
4,294064,,Vitor Bueno,21, Midfielder,183,79,10,0.0,872,4,1,2,-,2.4,79.4,2,1.1,7.16,1.5,0.4,0.9,-,0.5,1,-,-,1.4,1.8,-,2.2,2.9,1.4,39.4,79.4,1.1,2.7,Santos FC
5,40759,br,Vanderlei,32, GK,195,86,10,0.0,900,-,-,-,-,-,70.8,-,0.4,6.93,0.2,-,-,-,0.5,-,-,-,-,0.5,-,-,0.2,0,21.9,70.8,0,5.3,Santos FC
6,248121,br,Thiago Maia,19, DMC,179,68,10,0.0,895,-,1,1,-,0.4,85.3,-,1.2,6.90,2,1.6,1.1,-,1,0.8,0.2,-,0.7,0.8,0.2,1.1,1.3,0.7,62.7,85.3,0.2,3.4,Santos FC
7,317668,br,Luiz Felipe,22, Defender,186,79,5,1,469,1,-,2,-,0.5,84.9,-,2.2,6.90,2,1.3,0.7,0.2,3.3,0.5,0.7,-,0.2,0.3,-,-,0.8,0.2,45.2,84.9,0,2.8,Santos FC
8,114595,br,Gustavo Henrique,23, D(C),193,84,8,0,698,-,-,3,1,0.6,88.1,-,3.1,6.87,1.1,1.6,1.1,0.6,5.6,0.4,1.1,-,-,0.3,-,0.1,-,0,51.4,88.1,0,2.1,Santos FC
9,9445,br,Renato,37, M(C),177,71,10,0,888,1,-,1,-,0.8,89.4,-,1,6.87,1.9,1,0.4,0.1,1.1,0.3,0.3,-,0.4,0.6,-,0.4,0.9,0.4,59.6,89.4,0.1,3.5,Santos FC
10,131458,br,Leo Cittadini,22, AM(C),178,70,6,0,409,-,2,-,-,0.3,80.7,-,0.8,6.82,2.2,0.7,1,-,-,0.2,-,-,1.2,2.8,-,1.3,3,1.2,31.2,80.7,0.3,0,Santos FC
11,90360,br,Victor Ferraz,28, D(LR),175,72,10,0,900,-,1,1,-,0.5,83.5,1,0.7,6.82,2,1.1,0.6,-,0.9,0.7,0.3,-,0.5,1.3,0.1,0.6,1,0.5,53.8,83.5,0.7,0.5,Santos FC
12,115894,br,Lucas Lima,25, AM(C),174,70,1,2,112,-,1,-,-,1.3,84.8,-,-,6.82,1.3,-,0.7,-,0.3,0.7,-,-,1,1.3,-,0.3,1,1,35,84.8,0.7,2,Santos FC
13,241843,,Joel,22, FW,178,78,7,2,535,2,1,-,-,0.9,80.2,-,1,6.53,0.6,0.2,0.9,-,0.3,0.2,-,-,0.6,0.7,0.7,0.3,1.8,0.6,9.6,80.2,0,0,Santos FC
