,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,78875,br,Renan Ribeiro,26, GK,193,83,1,0.0,90,-,-,-,-,-,34.5,1,-,8.08,-,-,-,-,4,-,-,-,-,-,-,-,1,0,29,34.5,0,8,Sao Paulo
1,284115,,Lyanco,19, Defender,188,83,1,0.0,90,-,-,-,-,-,81.5,-,4,7.30,1,1,1,1,8,1,1,-,1,-,-,1,2,1,27,81.5,0,3,Sao Paulo
2,115096,br,João Schmidt,23, DMC,183,82,5,2,517,-,-,-,-,0.6,87.3,1,1.9,7.16,2.4,2.9,1,-,1.4,1.3,0.3,-,1,1.3,-,1.7,0.9,1,53.9,87.3,0.1,5.1,Sao Paulo
3,43931,br,Maicon,27, D(C),190,74,8,0,720,1,-,1,-,1,82.3,1,2.3,7.15,1.1,1.8,0.8,0.4,3.3,0.4,1.1,-,0.3,0.8,0.3,0.4,0.6,0.3,45.1,82.3,0.1,7,Sao Paulo
4,40237,br,Ganso,26, AM(C),184,73,5,1,483,1,2,1,-,1.3,83.1,-,0.2,7.14,1.7,0.2,1.5,-,-,0.8,0.2,-,3.5,2,-,2.2,1.7,3.5,43.3,83.1,1.2,1.5,Sao Paulo
5,132835,br,Lucão,20, D(C),187,78,3,0,270,-,-,-,-,0.3,81.4,-,3,7.12,2.3,2.3,0.7,-,6.3,-,1,-,-,0.7,-,0.7,1,0,43,81.4,0,1.3,Sao Paulo
6,102464,br,Rodrigo Caio,22," D(C),DMC",182,70,2,0,180,-,-,-,-,0.5,87.5,-,3,7.06,1.5,3.5,1.5,-,4.5,1.5,3,1,0.5,0.5,-,-,-,0.5,48,87.5,0,1.5,Sao Paulo
7,22227,uy,Diego Lugano,35, D(C),188,84,7,0,630,2,-,3,-,0.7,79.1,-,1.3,6.96,1.7,1.1,0.9,0.4,3,0.1,0.7,-,0.1,0.9,0.3,-,0.6,0.1,32.1,79.1,0,2.7,Sao Paulo
8,283978,,Matheus Reis,21, D(L),184,79,10,0,900,-,1,1,-,0.3,83.4,1,0.8,6.95,1.5,2.4,2.6,0.4,1.9,0.5,0.6,-,0.6,1,-,0.7,1.2,0.6,39.1,83.4,0.3,1.7,Sao Paulo
9,73694,br,Dênis,29, GK,188,86,9,0,810,-,-,-,-,-,52,-,0.4,6.91,-,-,-,-,0.7,-,-,-,-,0.1,-,-,0.1,0,22.2,52,0,5.7,Sao Paulo
10,133445,ar,Jonathan Calleri,22, Forward,179,75,3,0,248,3,-,2,1,3.3,80,-,2,6.87,0.7,0.3,3,-,1,0.7,0.3,-,-,1.7,0.3,2.7,4,0,21.7,80,0.3,0,Sao Paulo
11,86757,br,Bruno Vieira,30, D(R),178,69,8,1,655,-,2,2,-,-,70.7,1,1.6,6.84,1.8,1.1,1.4,0.3,1.7,0.4,0.3,-,0.9,0.9,-,0.6,0.8,0.9,30,70.7,0.7,1.1,Sao Paulo
12,117776,br,Thiago Mendes,24," D(R),M(CR)",176,73,7,1,632,-,-,3,-,0.9,89.4,-,0.5,6.80,2,1.4,1.1,-,0.6,0.4,-,-,1,2.5,-,1.5,1.8,1,43.6,89.4,0.1,1.8,Sao Paulo
13,102236,br,Kelvin,23, AM(R),175,71,7,2,601,-,2,1,-,1.7,81.7,-,0.2,6.80,0.7,0.4,0.7,-,-,0.6,-,-,1.7,1.9,0.2,1.7,1.3,1.7,25.4,81.7,1.3,0.6,Sao Paulo
14,125610,,Ricardo Centurion,23," AM(LR),FW",174,65,8,1,669,-,-,-,-,1.8,71.6,-,0.3,6.75,1.3,0.2,0.4,-,0.2,0.2,-,-,1.3,2,0.3,3.2,2.4,1.3,22.7,71.6,0.8,0.8,Sao Paulo
15,112514,co,Wilder Guisao,24, Forward,177,75,1,0,70,-,-,1,-,-,60,-,1,6.72,6,1,2,-,-,-,1,-,-,1,-,4,2,0,25,60,0,0,Sao Paulo
16,317745,,Artur,20, Midfielder,181,68,1,0,90,-,-,-,-,-,75,-,-,6.70,6,1,1,-,-,3,1,-,-,2,-,1,-,0,28,75,0,1,Sao Paulo
17,280834,,Ytalo,28, AM(C),181,68,4,3,343,1,-,-,-,1.9,73.6,-,1.7,6.68,1.1,0.7,0.4,-,-,0.1,-,-,0.7,0.9,0.3,1.1,1.1,0.7,15.1,73.6,0,0.6,Sao Paulo
18,5369,br,Michel Bastos,32," D(L),M(CLR)",179,71,2,1,209,-,-,1,-,2.3,91.4,-,0.3,6.67,0.3,1.3,0.7,-,1.3,-,-,-,0.7,0.3,1,1.3,1.7,0.7,35,91.4,1,1.3,Sao Paulo
19,317742,,Banguelê,20, Midfielder,180,78,1,0,65,-,-,1,-,-,80,-,1,6.58,3,-,2,-,-,-,-,-,1,1,-,1,3,1,25,80,0,0,Sao Paulo
20,147899,br,Húdson,28," D(R),DMC",179,68,1,0,90,-,-,1,-,1,76.6,-,4,6.56,3,2,3,-,1,1,-,-,-,2,-,1,1,0,47,76.6,1,0,Sao Paulo
21,317741,,Lucas Fernandes,18, Midfielder,176,71,2,3,207,1,1,1,-,1.2,89.1,-,0.2,6.52,0.4,0.2,0.6,-,-,0.8,-,-,0.4,0.2,-,1.6,0.8,0.4,12.8,89.1,0.2,0.4,Sao Paulo
22,35930,br,Wesley,29, M(C),177,67,4,0,270,-,-,1,-,0.5,86.9,-,0.8,6.51,1.5,1,1.8,-,0.5,2,-,-,1.3,0.8,-,1.3,1.8,1.3,44,86.9,0,2.3,Sao Paulo
23,317743,br,Luiz Araujo,20, Forward,175,67,0,3,49,-,-,-,-,0.7,78.3,-,-,6.42,0.7,0.3,0.3,-,0.3,0.3,-,-,-,0.3,-,0.3,0.3,0,7.7,78.3,0,0.7,Sao Paulo
24,29194,br,Alan Kardec,27, FW,187,80,6,3,584,-,-,1,-,0.7,63.7,-,3.7,6.35,0.3,-,1.3,-,0.7,0.1,-,-,0.8,1.6,0.6,0.7,2.1,0.8,13.8,63.7,0,0.1,Sao Paulo
25,148524,br,Auro,20, D(R),168,62,4,1,302,-,-,-,-,0.4,76.7,-,0.4,6.34,0.4,0.6,0.4,0.2,1.4,-,-,-,0.2,0.2,-,1.2,1.4,0.2,20.6,76.7,0.4,0.2,Sao Paulo
26,131221,br,Mateus Caramelo,21, Defender,182,79,0,2,40,-,-,1,-,0.5,100,-,-,6.22,0.5,-,0.5,0.5,1,-,-,-,-,1,-,-,1,0,4,100,0,0.5,Sao Paulo
27,102259,br,Rogério,25," AM(LR),FW",174,66,0,5,68,1,-,-,-,1,82.9,-,-,6.21,0.4,-,0.2,-,-,-,-,-,-,0.2,-,0.8,0.8,0,7,82.9,0,0,Sao Paulo
