,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,317655,co,Oswaldo Henríquez,27, Defender,186,80,3,0.0,270,-,-,-,-,0.7,80.9,1,4,7.48,2.7,6.3,2.3,1,3.7,-,-,-,-,0.3,-,0.3,-,0,54,80.9,0,4.3,Sport
1,18011,br,Diego Souza,31," AM(CL),FW",186,89,10,0.0,900,5,1,1,-,2.9,75.1,2,4.1,7.39,0.9,0.6,1.5,0.1,0.8,1,0.2,-,1.3,1.6,0.3,2,2.2,1.3,38.9,75.1,0.8,1.6,Sport
2,82412,br,Rithely,25, DMC,174,69,9,0.0,766,1,-,1,1,0.4,86.3,-,1.6,6.93,2.9,3.4,1.9,-,1.9,1.2,0.8,-,-,1.3,-,0.8,1.6,0,48.8,86.3,0,2.6,Sport
3,40725,br,Magrão,39, GK,187,79,10,0.0,900,-,-,-,-,-,71.9,-,0.2,6.86,-,0.1,-,-,0.5,0.1,-,-,-,0.2,-,-,0.1,0,27,71.9,0,7.1,Sport
4,114105,br,Renê,23, D(L),174,69,9,0.0,786,-,1,3,-,0.3,77.2,-,1.2,6.83,2.9,1.9,0.4,0.8,1.4,0.3,0.1,1,0.8,1.6,-,1.1,1.6,0.8,42.9,77.2,0.8,1.9,Sport
5,280413,,Samuel Xavier,26, D(R),166,67,9,0.0,798,-,-,4,-,0.4,80.9,-,0.4,6.83,2,2,1,0.9,1.7,0.7,0.4,-,0.9,1.7,-,0.8,1.6,0.9,42.4,80.9,1.2,1.6,Sport
6,41465,br,Serginho,29, DMC,177,71,8,1,717,-,-,3,-,0.9,85.2,-,1.3,6.75,2,2,2.2,-,0.9,0.3,0.3,-,0.6,2.7,-,0.7,1.7,0.6,40.6,85.2,0,2.3,Sport
7,16919,br,Edmilson,33, FW,183,77,7,0,570,2,-,2,-,2,79.4,-,1.9,6.73,0.9,0.4,0.7,-,-,0.6,0.1,-,0.4,0.9,1.3,1,2.4,0.4,19.4,79.4,0.1,0,Sport
8,135084,br,Gabriel Xavier,22, AM(CL),170,70,10,0,871,2,1,1,-,0.8,82.9,-,0.7,6.73,1.7,0.9,0.9,-,0.5,0.7,-,-,0.9,1,0.1,2,2.9,0.9,25.1,82.9,0.6,0.3,Sport
9,130433,br,Matheus Ferraz,31, D(C),190,82,6,0,507,-,-,-,1,0.5,75.8,1,4.5,6.56,1.2,2.8,1.7,0.3,4.3,0.3,0.5,-,0.3,0.7,-,-,1.2,0.3,40.7,75.8,0,2.2,Sport
10,16971,br,Durval,35, D(C),184,82,10,0,900,-,-,1,-,0.2,77.5,-,1.5,6.49,1,1.8,1.1,0.2,3.2,0.5,0.4,-,0.2,0.5,-,-,0.4,0.2,48.4,77.5,0,4.2,Sport
11,318008,br,Everton Felipe,18, AM(R),171,71,8,1,660,-,-,-,-,0.7,73.7,-,0.2,6.44,0.9,0.3,1.2,-,-,0.8,-,-,1.3,1.1,-,2.4,2.3,1.3,31.2,73.7,1.1,0.7,Sport
12,129674,co,Reinaldo Lenis,23, Midfielder,180,70,2,7,238,-,-,-,-,0.3,79.5,-,0.2,6.29,0.9,0.2,0.6,-,0.3,0.1,-,-,0.4,0.4,0.2,0.6,0.9,0.4,9.2,79.5,0.4,0,Sport
13,130567,br,Vinícius Araújo,23, FW,176,76,3,0,198,-,-,1,-,-,60,-,0.3,6.27,0.7,0.7,0.3,-,-,0.3,-,-,0.3,0.7,0.3,1.3,1.7,0.3,20,60,0,0,Sport
14,72784,cr,Rodney Wallace,28, AM(L),183,75,1,3,124,-,-,-,-,0.3,65.9,-,0.8,6.25,0.5,1,0.5,0.3,1,0.5,-,-,-,0.3,-,0.3,0.8,0,11,65.9,0,0.3,Sport
15,10072,cl,Mark González,31, Midfielder,176,74,2,0,119,-,-,-,-,1,74.5,-,0.5,6.22,1,2,1.5,-,0.5,1.5,-,-,-,-,-,1,1.5,0,25.5,74.5,1,0.5,Sport
16,114102,br,Oswaldo Lima,23, D(C),188,78,1,0,90,-,-,1,-,1,80.6,-,2,6.22,2,1,2,1,8,1,2,-,-,-,-,1,1,0,36,80.6,0,4,Sport
17,40754,br,Rodrigo Mancha,30, DMC,186,80,0,4,56,-,-,-,-,0.8,89.7,-,0.3,6.15,0.8,-,0.3,-,-,0.5,-,-,-,-,-,-,0.5,0,7.3,89.7,0,0.3,Sport
18,7384,br,Túlio de Melo,31, FW,193,90,0,5,75,-,-,-,-,0.8,77.8,-,1,6.13,-,-,0.2,-,0.2,-,-,-,0.2,-,-,0.4,1,0.2,3.6,77.8,0,0,Sport
19,148581,,Ronaldo,21, DMC,180,73,1,1,102,-,-,1,-,-,77.3,-,0.5,6.13,1.5,0.5,2,-,1,0.5,-,-,0.5,1,-,0.5,1,0.5,22,77.3,0,1,Sport
20,318493,,Clayton,24, Midfielder,176,70,0,2,13,-,-,-,-,-,93.3,-,-,6.08,-,0.5,-,-,-,0.5,-,-,0.5,0.5,-,0.5,1,0.5,7.5,93.3,0,1.5,Sport
21,102406,br,Luiz Antônio,25," D(R),M(CR)",184,73,1,3,117,-,-,1,-,1.5,77.5,-,0.3,6.07,0.3,0.8,0.8,-,0.3,0.5,-,-,0.3,0.3,-,-,0.5,0.3,20,77.5,0,1.3,Sport
22,149737,,Neto Moura,19, AM(C),176,72,0,1,16,-,-,-,-,-,83.3,-,-,5.96,-,-,1,-,-,-,-,-,-,-,-,1,-,0,6,83.3,0,2,Sport
