,player_number,flag,name,age,position,tall,weight,full_time,half_time,mins,goals,asists,yel,red,spg,ps_x,motm,aw,rating,tackles,inter,fouls,offsides,clear,drb,blocks,owng,keyp,fouled,off,disp,unstch,avgp,ps_y,crosses,longb,thrb,team_name
0,284377,,Marinho,26, AM(R),168,66,6,0.0,523,3,-,1,-,4,70.9,2,0.5,7.42,1.3,0.3,3.5,-,0.2,1.3,-,-,1.2,5.7,1.2,3.5,4.2,1.2,17.2,70.9,1,0.3,Vitoria
1,75961,br,Diego Renan,26, D(L),172,69,9,0.0,810,1,2,3,-,2.1,74.6,2,1.6,7.21,1.6,2.7,1.2,0.3,2.4,1.7,0.9,-,1.6,1,-,0.7,1.4,1.6,43.2,74.6,0.7,2,Vitoria
2,76668,br,Kieza,29, FW,180,71,10,0.0,893,5,-,2,-,2.3,69.2,-,3.3,6.98,0.3,0.1,2.4,0.1,1.2,0.1,-,-,1.2,2.1,0.7,0.8,3.1,1.2,19.5,69.2,0.1,0.3,Vitoria
3,69812,br,Victor Ramos,27, D(C),192,78,10,0.0,900,1,1,3,-,0.5,70.3,1,2.7,6.95,2.7,3.1,1.9,0.9,2.5,1.3,0.8,1,0.1,0.8,0.1,-,0.1,0.1,38.7,70.3,0,3,Vitoria
4,132504,,Euller,21, D(L),168,64,2,1,175,-,-,1,-,0.3,60.9,-,1,6.85,2,2.7,1.7,0.3,1,0.7,-,-,-,0.3,-,1,0.7,0,21.3,60.9,0,0.3,Vitoria
5,136957,br,Fernando Miguel,31, GK,191,92,10,0,900,-,-,-,-,-,53.7,-,0.3,6.82,0.1,0.3,-,-,1.1,0.1,-,-,0.2,0.1,-,-,0.1,0.2,20.3,53.7,0,6.3,Vitoria
6,317756,,Ramon,21, D(C),186,73,10,0,900,-,-,-,-,0.3,77.4,-,1.7,6.80,2.1,2.9,1.1,0.5,4.9,0.8,0.6,-,0.1,0.8,-,0.2,0.5,0.1,31,77.4,0,2.4,Vitoria
7,74560,br,Willian Farias,27, DMC,176,75,7,0,630,-,-,3,-,0.3,81.7,-,2.3,6.79,2.1,2.3,1.7,0.4,0.9,0.7,-,-,0.4,1.3,-,1,0.9,0.4,42.1,81.7,0,2.4,Vitoria
8,70892,br,Kanu,32, Defender,188,77,1,1,100,-,-,-,-,-,66.7,-,0.5,6.75,3,1,1,-,5.5,-,0.5,-,-,0.5,-,-,-,0,13.5,66.7,0,1,Vitoria
9,202109,,Maicon Silva,28, D(R),185,77,2,2,208,-,-,1,-,-,77.4,-,1.8,6.54,0.3,1,0.8,0.3,1.8,-,0.3,-,-,0.5,-,1.3,1,0,15.5,77.4,0.3,0.8,Vitoria
10,117620,br,Norberto Neto,25," D(R),M(R)",175,74,5,1,403,-,-,1,1,0.3,75.6,-,2,6.52,1.3,2.2,1.7,0.3,1.8,0.3,-,-,0.8,1,-,0.2,1.7,0.8,21.2,75.6,0.3,0.5,Vitoria
11,136958,,Marcelo,22, DMC,181,75,2,1,175,-,-,-,-,0.3,80,-,0.3,6.50,1.3,1.7,1.3,0.3,2.7,1,-,-,-,1,0.3,0.7,1,0,23.3,80,0,1.3,Vitoria
12,317758,,Flavio,20, Midfielder,177,73,4,1,304,-,-,1,-,0.4,80.4,-,1,6.48,0.6,1,0.6,-,0.2,0.2,0.4,-,0.8,1.2,0.2,1.4,0.8,0.8,22.4,80.4,0.4,1.6,Vitoria
13,114128,br,Amaral,28, DMC,174,80,10,0,831,-,-,2,-,1.2,80.9,-,1.1,6.47,2.2,0.9,1.9,-,1,0.4,0.2,-,0.6,1.3,-,0.9,1.7,0.6,32.4,80.9,0.1,2.9,Vitoria
14,18728,br,Dagoberto,33, AM(CL),175,75,6,3,519,-,-,1,-,1.9,72,-,0.2,6.45,1.4,0.3,1,-,-,1.2,-,-,1.3,1.6,0.2,1.1,1.8,1.3,20.2,72,0.4,1.1,Vitoria
15,317757,br,Leandro Domingues,32, Midfielder,172,68,4,4,321,1,2,-,-,0.9,73.1,1,0.1,6.39,0.8,0.1,0.9,-,-,0.3,-,-,0.4,0.6,0.3,0.3,1.5,0.4,11.6,73.1,0.1,0.6,Vitoria
16,317762,,David,20, Midfielder,179,71,1,2,100,-,-,-,-,0.7,69.2,-,-,6.18,1,-,0.7,-,-,0.3,-,-,0.3,1,-,0.7,0.3,0.3,8.7,69.2,0,1,Vitoria
17,146672,br,José Welison,21, DMC,177,74,2,2,190,-,-,1,-,0.5,69.1,-,0.5,6.15,1.3,1,0.8,0.3,2.3,0.5,-,-,0.3,0.5,-,0.5,0.8,0.3,17,69.1,1,1.8,Vitoria
18,101882,br,Vander,26, Midfielder,170,67,4,2,328,-,-,-,1,0.3,85.9,-,0.5,6.14,0.5,0.5,0.7,-,0.2,0.2,-,-,0.7,2.2,-,0.7,1.3,0.7,13,85.9,0.8,1.8,Vitoria
19,136920,br,William Henrique,24, AM(L),178,74,0,1,45,-,-,-,-,-,100,-,-,6.14,-,1,2,-,-,2,-,-,-,1,-,1,3,0,6,100,1,0,Vitoria
20,317761,,Alípio,24, Midfielder,174,68,0,7,136,-,-,-,-,0.3,74.2,-,0.3,6.08,0.1,-,0.3,-,-,-,-,-,0.4,0.4,-,0.6,0.7,0.4,9.4,74.2,0.1,0.1,Vitoria
21,132831,br,Tiago Real,27," D(R),M(CLR)",172,70,5,2,497,-,-,1,-,0.3,79.2,-,0.3,6.06,0.9,0.4,2,-,0.3,0.6,-,-,0.9,1,-,1.3,2.1,0.9,29.6,79.2,0.3,1.7,Vitoria
